baseline_rss_mib,peak_rss_mib,rss_delta_mib,workload_seconds,variant,repetition
15.1484375,46.64453125,31.49609375,0.7447554410000521,no_metadata,1
15.171875,50.59375,35.421875,1.8700890439999966,metadata,1
15.05078125,50.4140625,35.36328125,1.8464978180002163,metadata,2
15.0546875,46.5703125,31.515625,0.7221900900001401,no_metadata,2
15.1484375,46.69140625,31.54296875,0.7325478620000467,no_metadata,3
15.1640625,50.578125,35.4140625,1.7424220850000438,metadata,3
15.1171875,50.546875,35.4296875,1.7881791340000746,metadata,4
15.12109375,46.6953125,31.57421875,0.7362506470001335,no_metadata,4
15.05078125,46.56640625,31.515625,0.7368205600000692,no_metadata,5
15.2578125,50.58203125,35.32421875,1.7411705709998841,metadata,5
