variant,query,repetition,latency_ms
no_metadata,top_100_longest,30,0.138569
no_metadata,indexed_lookup_batch_200,1,3.809406
no_metadata,indexed_lookup_batch_200,2,1.943926
no_metadata,indexed_lookup_batch_200,3,1.871108
no_metadata,indexed_lookup_batch_200,4,1.770067
no_metadata,indexed_lookup_batch_200,5,1.797904
no_metadata,indexed_lookup_batch_200,6,1.85644
no_metadata,indexed_lookup_batch_200,7,1.780761
no_metadata,indexed_lookup_batch_200,8,1.75119
no_metadata,indexed_lookup_batch_200,9,1.787883
no_metadata,indexed_lookup_batch_200,10,1.769473
no_metadata,indexed_lookup_batch_200,11,1.791513
no_metadata,indexed_lookup_batch_200,12,1.768136
no_metadata,indexed_lookup_batch_200,13,1.746719
no_metadata,indexed_lookup_batch_200,14,1.689685
no_metadata,indexed_lookup_batch_200,15,1.853254
no_metadata,indexed_lookup_batch_200,16,1.701759
no_metadata,indexed_lookup_batch_200,17,1.809113
no_metadata,indexed_lookup_batch_200,18,1.700429
no_metadata,indexed_lookup_batch_200,19,1.887606
no_metadata,indexed_lookup_batch_200,20,1.718808
no_metadata,indexed_lookup_batch_200,21,1.860761
no_metadata,indexed_lookup_batch_200,22,1.928717
no_metadata,indexed_lookup_batch_200,23,2.215973
no_metadata,indexed_lookup_batch_200,24,1.746452
no_metadata,indexed_lookup_batch_200,25,1.674027
no_metadata,indexed_lookup_batch_200,26,1.756868
no_metadata,indexed_lookup_batch_200,27,1.697868
no_metadata,indexed_lookup_batch_200,28,1.736703
no_metadata,indexed_lookup_batch_200,29,1.695467
no_metadata,indexed_lookup_batch_200,30,1.794606
no_metadata,accession_filter,1,2.090559
no_metadata,accession_filter,2,2.034215
no_metadata,accession_filter,3,2.052921
no_metadata,accession_filter,4,2.042565
no_metadata,accession_filter,5,2.039841
no_metadata,accession_filter,6,2.042266
no_metadata,accession_filter,7,2.19619
no_metadata,accession_filter,8,2.027106
no_metadata,accession_filter,9,2.080331
no_metadata,accession_filter,10,2.011626
no_metadata,accession_filter,11,2.076643
no_metadata,accession_filter,12,2.050416
no_metadata,accession_filter,13,2.041633
no_metadata,accession_filter,14,2.046095
no_metadata,accession_filter,15,2.195174
no_metadata,accession_filter,16,2.127959
no_metadata,accession_filter,17,2.054115
no_metadata,accession_filter,18,2.08601
no_metadata,accession_filter,19,2.100764
no_metadata,accession_filter,20,2.218458
no_metadata,accession_filter,21,2.019228
no_metadata,accession_filter,22,2.077329
no_metadata,accession_filter,23,2.046832
no_metadata,accession_filter,24,2.033276
no_metadata,accession_filter,25,2.044229
no_metadata,accession_filter,26,2.038248
no_metadata,accession_filter,27,2.026193
no_metadata,accession_filter,28,2.070566
no_metadata,accession_filter,29,2.004181
no_metadata,accession_filter,30,2.07012
metadata,count_all,1,0.032123
metadata,count_all,2,0.032004
metadata,count_all,3,0.031387
metadata,count_all,4,0.031241
metadata,count_all,5,0.031102
metadata,count_all,6,0.03098
metadata,count_all,7,0.030939
metadata,count_all,8,0.031121
metadata,count_all,9,0.031561
metadata,count_all,10,0.036838
metadata,count_all,11,0.030645
metadata,count_all,12,0.031796
metadata,count_all,13,0.031181
metadata,count_all,14,0.031258
metadata,count_all,15,0.031403
metadata,count_all,16,0.03121
metadata,count_all,17,0.031027
metadata,count_all,18,0.03089
metadata,count_all,19,0.031171
metadata,count_all,20,0.030987
metadata,count_all,21,0.031158
metadata,count_all,22,0.03098
metadata,count_all,23,0.031034
metadata,count_all,24,0.030834
metadata,count_all,25,0.030313
metadata,count_all,26,0.031199
metadata,count_all,27,0.030588
metadata,count_all,28,0.05065
metadata,count_all,29,0.033871
metadata,count_all,30,0.03189
metadata,length_range_count,1,0.657497
metadata,length_range_count,2,0.671009
metadata,length_range_count,3,0.685107
metadata,length_range_count,4,0.657745
metadata,length_range_count,5,0.640053
metadata,length_range_count,6,0.733992
metadata,length_range_count,7,0.812086
metadata,length_range_count,8,0.80092
metadata,length_range_count,9,0.642807
metadata,length_range_count,10,0.656764
metadata,length_range_count,11,0.688133
metadata,length_range_count,12,0.640488
metadata,length_range_count,13,0.681498
metadata,length_range_count,14,0.656806
metadata,length_range_count,15,0.639511
metadata,length_range_count,16,0.655443
metadata,length_range_count,17,0.685454
metadata,length_range_count,18,0.664661
metadata,length_range_count,19,0.664039
metadata,length_range_count,20,0.664044
metadata,length_range_count,21,0.648914
metadata,length_range_count,22,0.677275
metadata,length_range_count,23,0.711285
metadata,length_range_count,24,0.639951
metadata,length_range_count,25,0.655277
metadata,length_range_count,26,0.659906
metadata,length_range_count,27,0.641013
metadata,length_range_count,28,0.741778
metadata,length_range_count,29,0.683648
metadata,length_range_count,30,0.642745
metadata,average_length,1,14.974568
metadata,average_length,2,14.859642
metadata,average_length,3,14.955074
metadata,average_length,4,17.073666
metadata,average_length,5,16.229974
metadata,average_length,6,15.005385
metadata,average_length,7,15.177459
metadata,average_length,8,15.066361
metadata,average_length,9,15.20289
metadata,average_length,10,15.001507
metadata,average_length,11,15.023218
metadata,average_length,12,14.981869
metadata,average_length,13,15.051413
metadata,average_length,14,15.254396
metadata,average_length,15,16.129384
metadata,average_length,16,15.579256
metadata,average_length,17,14.889615
metadata,average_length,18,14.905412
metadata,average_length,19,14.884057
metadata,average_length,20,15.132836
metadata,average_length,21,14.904963
metadata,average_length,22,14.724732
metadata,average_length,23,16.794323
metadata,average_length,24,16.299886
metadata,average_length,25,15.262585
metadata,average_length,26,17.146184
metadata,average_length,27,14.928113
metadata,average_length,28,14.834526
metadata,average_length,29,14.88302
metadata,average_length,30,14.957232
metadata,gc_range_count,1,4.544592
metadata,gc_range_count,2,4.520456
metadata,gc_range_count,3,4.55779
metadata,gc_range_count,4,4.522859
metadata,gc_range_count,5,4.576256
metadata,gc_range_count,6,4.527949
metadata,gc_range_count,7,4.576659
metadata,gc_range_count,8,4.572155
metadata,gc_range_count,9,4.587587
metadata,gc_range_count,10,4.574875
metadata,gc_range_count,11,4.558655
metadata,gc_range_count,12,4.565537
metadata,gc_range_count,13,4.552428
metadata,gc_range_count,14,4.621843
