variant,build_seconds,records_per_second,database_bytes,page_count,page_size,integrity_check,repetition
no_metadata,0.9622292589999688,117553.06642572554,35106816,8571,4096,ok,1
metadata,1.0116146259999823,111814.3185090742,45793280,11180,4096,ok,1
metadata,0.9970587719999457,113446.6725297575,45793280,11180,4096,ok,2
no_metadata,0.7698616860000129,146926.3921779296,35106816,8571,4096,ok,2
no_metadata,0.8826110749998861,128157.24071898214,35106816,8571,4096,ok,3
metadata,1.1374552809998022,99443.90947886388,45793280,11180,4096,ok,3
