variant,query,repetition,latency_ms
no_bioplastics_metadata,top_100_longest,15,0.122159
no_bioplastics_metadata,top_100_longest,16,0.099278
no_bioplastics_metadata,top_100_longest,17,0.099009
no_bioplastics_metadata,top_100_longest,18,0.099386
no_bioplastics_metadata,top_100_longest,19,0.106071
no_bioplastics_metadata,top_100_longest,20,0.103969
no_bioplastics_metadata,top_100_longest,21,0.270115
no_bioplastics_metadata,top_100_longest,22,0.100875
no_bioplastics_metadata,top_100_longest,23,0.118105
no_bioplastics_metadata,top_100_longest,24,0.109537
no_bioplastics_metadata,top_100_longest,25,0.100462
no_bioplastics_metadata,top_100_longest,26,0.098423
no_bioplastics_metadata,top_100_longest,27,0.099166
no_bioplastics_metadata,top_100_longest,28,0.098992
no_bioplastics_metadata,top_100_longest,29,0.099379
no_bioplastics_metadata,top_100_longest,30,0.098826
no_bioplastics_metadata,plastic_context_sequence_count,1,1.212265
no_bioplastics_metadata,plastic_context_sequence_count,2,1.081253
no_bioplastics_metadata,plastic_context_sequence_count,3,1.161408
no_bioplastics_metadata,plastic_context_sequence_count,4,1.078629
no_bioplastics_metadata,plastic_context_sequence_count,5,1.071488
no_bioplastics_metadata,plastic_context_sequence_count,6,1.075248
no_bioplastics_metadata,plastic_context_sequence_count,7,1.092833
no_bioplastics_metadata,plastic_context_sequence_count,8,1.078795
no_bioplastics_metadata,plastic_context_sequence_count,9,1.071533
no_bioplastics_metadata,plastic_context_sequence_count,10,1.231028
no_bioplastics_metadata,plastic_context_sequence_count,11,1.08543
no_bioplastics_metadata,plastic_context_sequence_count,12,1.07879
no_bioplastics_metadata,plastic_context_sequence_count,13,1.074808
no_bioplastics_metadata,plastic_context_sequence_count,14,1.162659
no_bioplastics_metadata,plastic_context_sequence_count,15,1.058956
no_bioplastics_metadata,plastic_context_sequence_count,16,1.078445
no_bioplastics_metadata,plastic_context_sequence_count,17,1.065031
no_bioplastics_metadata,plastic_context_sequence_count,18,1.098127
no_bioplastics_metadata,plastic_context_sequence_count,19,1.072886
no_bioplastics_metadata,plastic_context_sequence_count,20,1.068004
no_bioplastics_metadata,plastic_context_sequence_count,21,1.170061
no_bioplastics_metadata,plastic_context_sequence_count,22,1.079688
no_bioplastics_metadata,plastic_context_sequence_count,23,1.08087
no_bioplastics_metadata,plastic_context_sequence_count,24,1.068229
no_bioplastics_metadata,plastic_context_sequence_count,25,1.088114
no_bioplastics_metadata,plastic_context_sequence_count,26,1.060614
no_bioplastics_metadata,plastic_context_sequence_count,27,1.061015
no_bioplastics_metadata,plastic_context_sequence_count,28,1.116525
no_bioplastics_metadata,plastic_context_sequence_count,29,1.25538
no_bioplastics_metadata,plastic_context_sequence_count,30,1.07551
bioplastics_metadata,count_all_sequences,1,0.034652
bioplastics_metadata,count_all_sequences,2,0.033893
bioplastics_metadata,count_all_sequences,3,0.03274
bioplastics_metadata,count_all_sequences,4,0.033025
bioplastics_metadata,count_all_sequences,5,0.03298
bioplastics_metadata,count_all_sequences,6,0.033194
bioplastics_metadata,count_all_sequences,7,0.033726
bioplastics_metadata,count_all_sequences,8,0.033031
bioplastics_metadata,count_all_sequences,9,0.03409
bioplastics_metadata,count_all_sequences,10,0.033492
bioplastics_metadata,count_all_sequences,11,0.033622
bioplastics_metadata,count_all_sequences,12,0.033021
bioplastics_metadata,count_all_sequences,13,0.032728
bioplastics_metadata,count_all_sequences,14,0.033747
bioplastics_metadata,count_all_sequences,15,0.032617
bioplastics_metadata,count_all_sequences,16,0.032727
bioplastics_metadata,count_all_sequences,17,0.033144
bioplastics_metadata,count_all_sequences,18,0.033131
bioplastics_metadata,count_all_sequences,19,0.078702
bioplastics_metadata,count_all_sequences,20,0.035201
bioplastics_metadata,count_all_sequences,21,0.053131
bioplastics_metadata,count_all_sequences,22,0.035545
bioplastics_metadata,count_all_sequences,23,0.033798
bioplastics_metadata,count_all_sequences,24,0.033323
bioplastics_metadata,count_all_sequences,25,0.033248
bioplastics_metadata,count_all_sequences,26,0.033202
bioplastics_metadata,count_all_sequences,27,0.034436
bioplastics_metadata,count_all_sequences,28,0.033959
bioplastics_metadata,count_all_sequences,29,0.033521
bioplastics_metadata,count_all_sequences,30,0.033203
bioplastics_metadata,average_sequence_length,1,16.210638
bioplastics_metadata,average_sequence_length,2,16.135432
bioplastics_metadata,average_sequence_length,3,16.143297
bioplastics_metadata,average_sequence_length,4,16.221137
bioplastics_metadata,average_sequence_length,5,16.76862
bioplastics_metadata,average_sequence_length,6,16.562882
bioplastics_metadata,average_sequence_length,7,16.227641
bioplastics_metadata,average_sequence_length,8,16.179388
bioplastics_metadata,average_sequence_length,9,16.4806
bioplastics_metadata,average_sequence_length,10,16.177924
bioplastics_metadata,average_sequence_length,11,16.339989
bioplastics_metadata,average_sequence_length,12,16.306973
bioplastics_metadata,average_sequence_length,13,16.330437
bioplastics_metadata,average_sequence_length,14,16.070995
bioplastics_metadata,average_sequence_length,15,16.398909
bioplastics_metadata,average_sequence_length,16,17.007153
bioplastics_metadata,average_sequence_length,17,16.40072
bioplastics_metadata,average_sequence_length,18,15.993245
bioplastics_metadata,average_sequence_length,19,16.267828
bioplastics_metadata,average_sequence_length,20,15.384072
bioplastics_metadata,average_sequence_length,21,16.305922
bioplastics_metadata,average_sequence_length,22,16.088591
bioplastics_metadata,average_sequence_length,23,16.49516
bioplastics_metadata,average_sequence_length,24,16.460691
bioplastics_metadata,average_sequence_length,25,16.117209
bioplastics_metadata,average_sequence_length,26,17.912505
bioplastics_metadata,average_sequence_length,27,16.250672
bioplastics_metadata,average_sequence_length,28,17.683438
bioplastics_metadata,average_sequence_length,29,16.33591
bioplastics_metadata,average_sequence_length,30,16.036442
bioplastics_metadata,gc_range_count,1,5.728222
bioplastics_metadata,gc_range_count,2,5.090269
bioplastics_metadata,gc_range_count,3,5.097307
bioplastics_metadata,gc_range_count,4,5.115363
bioplastics_metadata,gc_range_count,5,5.272393
bioplastics_metadata,gc_range_count,6,5.021049
bioplastics_metadata,gc_range_count,7,4.994984
bioplastics_metadata,gc_range_count,8,5.007733
bioplastics_metadata,gc_range_count,9,5.747913
bioplastics_metadata,gc_range_count,10,5.057594
bioplastics_metadata,gc_range_count,11,5.007901
bioplastics_metadata,gc_range_count,12,5.014311
bioplastics_metadata,gc_range_count,13,5.02696
bioplastics_metadata,gc_range_count,14,4.97712
bioplastics_metadata,gc_range_count,15,4.997065
bioplastics_metadata,gc_range_count,16,4.971556
bioplastics_metadata,gc_range_count,17,4.990022
bioplastics_metadata,gc_range_count,18,5.013446
bioplastics_metadata,gc_range_count,19,4.975576
