variant,repetition,build_seconds,records_per_second,database_mib,page_count,page_size,integrity_check
no_bioplastics_metadata,1,1.0080895099999907,120352.40799202555,39.69140625,10161,4096,ok
bioplastics_metadata,1,1.0577759279999555,114699.15015877078,40.05078125,10253,4096,ok
bioplastics_metadata,2,1.0364861369998835,117055.1111770573,40.05078125,10253,4096,ok
no_bioplastics_metadata,2,1.002847838999969,120981.46426778483,39.69140625,10161,4096,ok
no_bioplastics_metadata,3,1.0165343589997065,119352.58156879972,39.69140625,10161,4096,ok
bioplastics_metadata,3,1.0763707930000237,112717.66271346358,40.05078125,10253,4096,ok
