Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
ERR7672960_23882,Extracellular,Signal peptide,Soluble,0.1039000004529953,0.07859999686479568,0.8805999755859375,0.04830000177025795,0.16740000247955322,0.05900000035762787,0.08489999920129776,0.2985999882221222,0.13590000569820404,0.003599999938160181,0.428600013256073,0.051600001752376556,0.26579999923706055,0.8047000169754028
ERR8106065_1375561,Extracellular,Signal peptide,Soluble,0.1632000058889389,0.13809999823570251,0.7472000122070312,0.057999998331069946,0.32179999351501465,0.0340999998152256,0.09860000014305115,0.1859000027179718,0.15279999375343323,0.002300000051036477,0.4059999883174896,0.04470000043511391,0.296099990606308,0.8220999836921692
O82950_M1,Cytoplasm,,Soluble,0.29100000858306885,0.3066999912261963,0.36469998955726624,0.16060000658035278,0.19769999384880066,0.004900000058114529,0.20550000667572021,0.14980000257492065,0.2879999876022339,0.004800000227987766,0.37689998745918274,0.09300000220537186,0.13950000703334808,0.8034999966621399
Q51871_M1,Extracellular,Signal peptide,Soluble,0.20260000228881836,0.1632000058889389,0.7993999719619751,0.2800999879837036,0.029200000688433647,0.007600000128149986,0.11320000141859055,0.16619999706745148,0.1120000034570694,0.008700000122189522,0.45969998836517334,0.03660000115633011,0.20479999482631683,0.8597000241279602
Q6UFW4_M1,Extracellular,,Soluble,0.3752000033855438,0.27559998631477356,0.7858999967575073,0.2515000104904175,0.3140000104904175,0.052400000393390656,0.18729999661445618,0.3095000088214874,0.2955000102519989,0.0026000000070780516,0.2653999924659729,0.125900000333786,0.13619999587535858,0.8353000283241272
ERR868388_2138178,Extracellular,Signal peptide,Soluble,0.3944000005722046,0.19460000097751617,0.9099000096321106,0.262800008058548,0.07970000058412552,0.007600000128149986,0.20250000059604645,0.2827000021934509,0.14069999754428864,0.002199999988079071,0.4625000059604645,0.04610000178217888,0.4383000135421753,0.794700026512146
Q939Q9_M1,Extracellular,,Soluble,0.28940001130104065,0.319599986076355,0.44339999556541443,0.21439999341964722,0.19480000436306,0.03739999979734421,0.2935999929904938,0.3179999887943268,0.4636000096797943,0.011300000362098217,0.45840001106262207,0.06549999862909317,0.2831000089645386,0.7954999804496765
A0A1E1FNX8_M1,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.4968000054359436,0.6262000203132629,0.38339999318122864,0.30959999561309814,0.28700000047683716,0.020400000736117363,0.2529999911785126,0.12970000505447388,0.08169999718666077,0.03460000082850456,0.4823000133037567,0.055799998342990875,0.30640000104904175,0.833299994468689
BAI992302_M1,Cytoplasm|Extracellular,,Soluble,0.5099999904632568,0.34299999475479126,0.7770000100135803,0.2290000021457672,0.11599999666213989,0.050200000405311584,0.39730000495910645,0.3885999917984009,0.164000004529953,0.018699999898672104,0.475600004196167,0.05609999969601631,0.35899999737739563,0.7103000283241272
OK5588251_M1,Extracellular,Nuclear localization signal,Soluble,0.44179999828338623,0.42660000920295715,0.8012999892234802,0.3125999867916107,0.08720000088214874,0.009800000116229057,0.10209999978542328,0.05779999867081642,0.045499999076128006,0.0010000000474974513,0.39469999074935913,0.03200000151991844,0.3248000144958496,0.8065000176429749
WP_0034600121_M1,Cytoplasm,,Peripheral|Soluble,0.41370001435279846,0.18310000002384186,0.1639000028371811,0.2410999983549118,0.40619999170303345,0.024700000882148743,0.33980000019073486,0.05469999834895134,0.11969999969005585,0.06459999829530716,0.6204000115394592,0.19979999959468842,0.07729999721050262,0.6033999919891357
XAQ582251_M1,Cytoplasm,Nuclear localization signal,Soluble,0.6184999942779541,0.3131999969482422,0.5169000029563904,0.2337999939918518,0.15060000121593475,0.012000000104308128,0.36399999260902405,0.06019999831914902,0.09780000150203705,0.004900000058114529,0.4341000020503998,0.049300000071525574,0.26759999990463257,0.8539999723434448
AQT339001_M1,Endoplasmic reticulum,Signal peptide,Soluble,0.23829999566078186,0.10679999738931656,0.3840999901294708,0.36480000615119934,0.12999999523162842,0.005900000222027302,0.8483999967575073,0.13940000534057617,0.12540000677108765,0.0414000004529953,0.3395000100135803,0.11259999871253967,0.3278999924659729,0.8015000224113464
BAA849951_M1,Cytoplasm|Extracellular,Signal peptide,Soluble,0.5857999920845032,0.11569999903440475,0.6589000225067139,0.2554999887943268,0.22460000216960907,0.04610000178217888,0.3285999894142151,0.20919999480247498,0.13359999656677246,0.03669999912381172,0.4090000092983246,0.23330000042915344,0.1860000044107437,0.7799000144004822
BAC766231_M1,Endoplasmic reticulum,Signal peptide,Soluble,0.24690000712871552,0.12559999525547028,0.37529999017715454,0.31929999589920044,0.23080000281333923,0.002099999925121665,0.8661999702453613,0.18799999356269836,0.14569999277591705,0.08250000327825546,0.3846000134944916,0.15289999544620514,0.24619999527931213,0.7581999897956848
NP_9994112_M1,Endoplasmic reticulum,Signal peptide,Soluble,0.2264000028371811,0.09830000251531601,0.4000000059604645,0.3652999997138977,0.13349999487400055,0.0052999998442828655,0.8621000051498413,0.14730000495910645,0.12330000102519989,0.040699999779462814,0.3368000090122223,0.1120000034570694,0.3100000023841858,0.8050000071525574
CAC839331_M1,Cytoplasm|Extracellular,,Soluble,0.6761999726295471,0.2623000144958496,0.7024000287055969,0.12919999659061432,0.07850000262260437,0.03550000116229057,0.2572000026702881,0.2378000020980835,0.08290000259876251,0.03799999877810478,0.193900004029274,0.07249999791383743,0.14350000023841858,0.8952999711036682
CDO673081_M1,Extracellular,Signal peptide,Soluble,0.3806000053882599,0.18700000643730164,0.7713000178337097,0.18549999594688416,0.17139999568462372,0.09309999644756317,0.3310999870300293,0.18520000576972961,0.07370000332593918,0.06300000101327896,0.25949999690055847,0.11060000211000443,0.14589999616146088,0.8447999954223633
EUC554531_M1,Extracellular,,Soluble,0.3458000123500824,0.2612000107765198,0.819100022315979,0.2433999925851822,0.05490000173449516,0.03319999948143959,0.11190000176429749,0.42570000886917114,0.2287999987602234,0.06620000302791595,0.20720000565052032,0.08810000121593475,0.13220000267028809,0.8424000144004822
ADD971501_M1,Endoplasmic reticulum,Signal peptide,Soluble,0.2624000012874603,0.051899999380111694,0.43209999799728394,0.2847999930381775,0.15520000457763672,0.012299999594688416,0.9204000234603882,0.18469999730587006,0.09870000183582306,0.17319999635219574,0.3269999921321869,0.11919999867677689,0.265500009059906,0.7915999889373779
ADF434591_M1,Endoplasmic reticulum,Signal peptide,Soluble,0.26350000500679016,0.05290000140666962,0.42340001463890076,0.2962999939918518,0.15780000388622284,0.012199999764561653,0.92330002784729,0.1923999935388565,0.10400000214576721,0.17919999361038208,0.34700000286102295,0.1193000003695488,0.27570000290870667,0.7840999960899353
ADF434631_M1,Cell membrane,,Lipid anchor|Soluble,0.2078000009059906,0.0575999990105629,0.4823000133037567,0.7955999970436096,0.06440000236034393,0.0044999998062849045,0.186599999666214,0.13580000400543213,0.13369999825954437,0.04729999974370003,0.12399999797344208,0.26100000739097595,0.947700023651123,0.6259999871253967
ADF434691_M1,Cytoplasm|Extracellular,Signal peptide,Soluble,0.5085999965667725,0.0754999965429306,0.6180999875068665,0.30959999561309814,0.15459999442100525,0.011300000362098217,0.4984000027179718,0.0803999975323677,0.07639999687671661,0.09709999710321426,0.4327000081539154,0.11219999939203262,0.24570000171661377,0.8051000237464905
ADF434941_M1,Cytoplasm|Extracellular,Signal peptide,Soluble,0.5479999780654907,0.10130000114440918,0.7265999913215637,0.1720000058412552,0.27140000462532043,0.12780000269412994,0.2248000055551529,0.11289999634027481,0.09799999743700027,0.030400000512599945,0.4472000002861023,0.16140000522136688,0.08330000191926956,0.8170999884605408
BAC367071_M1,Endoplasmic reticulum,Signal peptide,Soluble,0.27730000019073486,0.10490000247955322,0.35019999742507935,0.3443000018596649,0.21439999341964722,0.003000000026077032,0.8889999985694885,0.21649999916553497,0.1242000013589859,0.08669999986886978,0.3517000079154968,0.16220000386238098,0.24420000612735748,0.7617999911308289
XP_0228283431_M1,Endoplasmic reticulum,Signal peptide,Soluble,0.2093999981880188,0.05469999834895134,0.5188000202178955,0.3677000105381012,0.149399995803833,0.016599999740719795,0.8964999914169312,0.2370000034570694,0.15780000388622284,0.3483999967575073,0.31940001249313354,0.08100000023841858,0.3109000027179718,0.8220999836921692
AAB354882_M1,Extracellular,Signal peptide,Soluble,0.3050000071525574,0.08150000125169754,0.8849999904632568,0.3573000133037567,0.1468999981880188,0.031300000846385956,0.16699999570846558,0.17409999668598175,0.06080000102519989,0.12630000710487366,0.4577000141143799,0.23019999265670776,0.5382999777793884,0.6811000108718872
AAC392581_M1,Endoplasmic reticulum,Signal peptide,Soluble,0.2515000104904175,0.09279999881982803,0.515999972820282,0.3116999864578247,0.15039999783039093,0.006099999882280827,0.8325999975204468,0.22269999980926514,0.18889999389648438,0.06870000064373016,0.3546000123023987,0.10840000212192535,0.38260000944137573,0.8015000224113464
AAF641561_M1,Cytoplasm,,Soluble,0.4593000113964081,0.2110999971628189,0.42989999055862427,0.15919999778270721,0.20499999821186066,0.22779999673366547,0.39629998803138733,0.32249999046325684,0.4092000126838684,0.056699998676776886,0.5516999959945679,0.181099995970726,0.21690000593662262,0.6179999709129333
AAH059891_M1,Extracellular,Signal peptide,Soluble,0.3700000047683716,0.1850000023841858,0.830299973487854,0.4544000029563904,0.4097000062465668,0.26579999923706055,0.305400013923645,0.4706000089645386,0.48919999599456787,0.011500000022351742,0.5679000020027161,0.07620000094175339,0.275299996137619,0.7706000208854675
AAI496391_M1,Cell membrane,Signal peptide,Soluble,0.3192000091075897,0.08449999988079071,0.5429999828338623,0.7211999893188477,0.05130000039935112,0.0421999990940094,0.23559999465942383,0.5444999933242798,0.19189999997615814,0.0746999979019165,0.3880999982357025,0.27090001106262207,0.6068000197410583,0.623199999332428
AEE613241_M1,Cytoplasm,,Soluble,0.6090999841690063,0.46540001034736633,0.4575999975204468,0.11129999905824661,0.14239999651908875,0.07460000365972519,0.3037000000476837,0.367000013589859,0.2434999942779541,0.028200000524520874,0.26910001039505005,0.04259999841451645,0.20990000665187836,0.8145999908447266
BBC47797.1_M1,Cytoplasm|Extracellular,,Soluble,0.5188000202178955,0.11760000139474869,0.6337000131607056,0.3659000098705292,0.23800000548362732,0.25429999828338623,0.2985000014305115,0.3203999996185303,0.3734999895095825,0.014299999922513962,0.38100001215934753,0.07980000227689743,0.20970000326633453,0.7878000140190125
C7YUZ1_M1,Extracellular,Signal peptide,Soluble,0.1671999990940094,0.22759999334812164,0.8931000232696533,0.08889999985694885,0.12300000339746475,0.019999999552965164,0.15360000729560852,0.1437000036239624,0.16930000483989716,0.02800000086426735,0.2976999878883362,0.025100000202655792,0.2506999969482422,0.8120999932289124
W3VKA4_M1,Extracellular,,Soluble,0.43560001254081726,0.18170000612735748,0.8061000108718872,0.4077000021934509,0.07169999927282333,0.11240000277757645,0.19769999384880066,0.17880000174045563,0.12150000035762787,0.01769999973475933,0.27390000224113464,0.12309999763965607,0.20880000293254852,0.7598000168800354
ERR9698294_3076,Extracellular,Signal peptide,Soluble,0.11680000275373459,0.08569999784231186,0.8672000169754028,0.05420000106096268,0.17430000007152557,0.07639999687671661,0.08529999852180481,0.12139999866485596,0.10090000182390213,0.0038999998942017555,0.5011000037193298,0.06560000032186508,0.3018999993801117,0.7617999911308289
ERR9769279_34127,Extracellular,Signal peptide,Soluble,0.16329999268054962,0.2167000025510788,0.7123000025749207,0.05249999836087227,0.29820001125335693,0.21250000596046448,0.13379999995231628,0.20170000195503235,0.23880000412464142,0.008799999952316284,0.38269999623298645,0.04969999939203262,0.321399986743927,0.8101000189781189
ERR9844462_623,Extracellular,Signal peptide,Soluble,0.2590000033378601,0.13979999721050262,0.8482000231742859,0.09459999948740005,0.24310000240802765,0.03959999978542328,0.1623000055551529,0.19529999792575836,0.18529999256134033,0.003100000089034438,0.4138999879360199,0.06379999965429306,0.30559998750686646,0.7950000166893005
