organism,sra_run_count,sra_platforms,sra_strategies,sra_total_bases,sra_date_range
Micromonospora sp.,2,ILLUMINA,AMPLICON; WGS,1655985060.0,2024-2025
Paenibacillus sp.,127,ILLUMINA,WGS,2141782.0,2026-2026
Schlegelella thermodepolymerans,19,ILLUMINA,RNA-Seq,9132442112.0,2026-2026
Aureobasidium pullulans,221,ILLUMINA; OXFORD_NANOPORE; PACBIO_SMRT,WGS,9566860117.0,2026-2026
Purpureocillium lilacinum,123,ILLUMINA,RNA-Seq,38046242700.0,2026-2026
Alcanivorax sp.,38,DNBSEQ; ILLUMINA,AMPLICON; WGA,58743518.0,2021-2026
Rhizopus oryzae,377,DNBSEQ; ILLUMINA; OXFORD_NANOPORE,AMPLICON; RNA-Seq; WGS,40694582906.0,2025-2026
Paenibacillus amylolyticus,77,ILLUMINA,WGS,466134.0,2026-2026
Phlebiopsis sp.,1,ABI_SOLID,AMPLICON,1237.0,2024-2024
Comamonas testosteroni,530,ILLUMINA,WGS,2090056207.0,2026-2026
Xylaria sp.,5,ABI_SOLID; ILLUMINA; LS454,AMPLICON; OTHER; WGS,5069.0,2021-2025
Schizophyllum commune,843,ABI_SOLID; ILLUMINA,RNA-Seq; WGS,14967382436.0,2025-2026
Neopestalotiopsis phangngaensis,0,,,,
Lihuaxuella thermophila,1,ILLUMINA,WGS,975208736.0,2016-2016
Variovorax paradoxus,153,ILLUMINA,AMPLICON; WGS,60516457.0,2025-2026
Aspergillus fischeri,149,CAPILLARY; ILLUMINA,AMPLICON; WGS,23822469086.0,2024-2026
Rhodococcus ruber,150,ILLUMINA; OXFORD_NANOPORE,WGS,6967388032.0,2025-2026
Fusarium equiseti,23,ILLUMINA,RNA-Seq,29103400972.0,2024-2025
Streptomyces anulatus,104,ILLUMINA; OXFORD_NANOPORE,WGA; WGS,8164220349.0,2025-2026
VIbrio sp.,204,ILLUMINA; OXFORD_NANOPORE,WGS,4101281774.0,2025-2026
Comamonas sp.,9,ABI_SOLID; ILLUMINA,OTHER; WGS,2244134568.0,2024-2026
Cryptococcus sp.,0,,,,
Pseudogymnoascus verrucosus,2,ILLUMINA; ION_TORRENT,RNA-Seq; WGS,9305559953.0,2015-2015
Pestalotiopsis sp.,3,ILLUMINA,AMPLICON; WGS,108091604.0,2021-2023
Clonostachys rosea,354,ILLUMINA,WGS; ssRNA-seq,36740354299.0,2024-2026
Terribacillus sp.,0,,,,
Streptomyces roseolus,4,ILLUMINA,WGS,9356320362.0,2018-2024
Ideonella sakaiensis,14,ILLUMINA; OXFORD_NANOPORE,RNA-Seq; WGS,73710115632.0,2025-2026
Aspergillus tamarii,30,DNBSEQ; ILLUMINA,AMPLICON; WGS,11260267647.0,2023-2025
Amycolatopsis tolypomycina,4,ILLUMINA; PACBIO_SMRT,WGS,4014392044.0,2016-2024
Gloeophyllum sepiarium,0,,,,
Lachnellula sp.,0,,,,
Pseudozyma antarctica,4,DNBSEQ; ILLUMINA; OXFORD_NANOPORE; PACBIO_SMRT,AMPLICON; WGA; WGS,16258760461.0,2023-2025
