organism,sra_run_count,sra_platforms,sra_strategies,sra_total_bases,sra_date_range
Bacillus pseudomycoides,44,CAPILLARY; ILLUMINA; PACBIO_SMRT,AMPLICON; WGS; ssRNA-seq,5562055545.0,2024-2025
Rhodotorula sp.,18,ILLUMINA; OXFORD_NANOPORE,AMPLICON; OTHER,227195713.0,2025-2025
Rhodococcus erythropolis,151,ILLUMINA,WGS,1877694.0,2026-2026
Rhodospirillum rubrum,80,ILLUMINA; OXFORD_NANOPORE,RNA-Seq; WGS,4066097777.0,2024-2024
Bacillus vallismortis,23,CAPILLARY; ILLUMINA; PACBIO_SMRT,AMPLICON; WGS,6310108981.0,2025-2026
Bacillus velezensis,1474,ILLUMINA,WGA; WGS,5035346733.0,2026-2026
Engyodontium album,2,ILLUMINA,WGS,8343838809.0,2025-2026
Mortierella sp.,40,ILLUMINA,AMPLICON,16152.0,2025-2025
Neonectria sp.,1,ILLUMINA,OTHER,1794.0,2025-2025
Nigrofomes melanoporus,0,,,,
Microbispora sp.,0,,,,
Micromonosporaceae bacterium,5,ILLUMINA,AMPLICON; RNA-Seq; WGS,1191136602.0,2018-2024
Marinactinospora thermotolerans,1,ILLUMINA,WGS,1523773500.0,2015-2015
Exophilia sp.,0,,,,
Flavobacterium sp.,138,ILLUMINA,WGS,906906.0,2026-2026
Fusarium redolens,12,ILLUMINA; PACBIO_SMRT,AMPLICON; WGS,39109935361.0,2020-2025
Aspergillus foetidus,0,,,,
Aspergillus giganteus,2,ILLUMINA,RNA-Seq; WGS,27023309716.0,2019-2019
Asteromyces cruciatus,0,,,,
Aspergillus nidulans,1658,ILLUMINA; OXFORD_NANOPORE,AMPLICON; RNA-Seq; WGS,65848595001.0,2026-2026
Sarcina aurantiaca,0,,,,
Sarocladium strictum,10,DNBSEQ; ILLUMINA; LS454; PACBIO_SMRT,AMPLICON; RNA-Seq; WGS,14035234663.0,2019-2025
Staphylococcus epidermidis,12131,ILLUMINA; OXFORD_NANOPORE,WGS,23750933096.0,2026-2026
Sinomonas sp.,0,,,,
Rhodococcus opacus,220,ILLUMINA,WGS,36876821184.0,2025-2026
Stachybotrys chartarum,12,BGISEQ; DNBSEQ; ILLUMINA,AMPLICON; RNA-Seq; WGS,10438029198.0,2024-2026
Arthrinium sacchari,0,,,,
Amycolatopsis rugosa,0,,,,
Amycolatopsis sulphurea,4,ILLUMINA; PACBIO_SMRT,WGS,7695026750.0,2016-2025
Aequorivita viscosa,2,ILLUMINA,WGS,2895312354.0,2016-2016
Aequorivita vladivostokensis,0,,,,
Steroidobacter cummioxidans,0,,,,
Stenotrophomonas panacihumi,2,ILLUMINA,AMPLICON; WGS,332222182.0,2023-2025
Stenotrophomonas pavanii,93,CAPILLARY; ILLUMINA; OXFORD_NANOPORE,WGS,3784275681.0,2026-2026
Streptomyces ciscaucasicus,62,OXFORD_NANOPORE; PACBIO_SMRT,WGS,1079635308.0,2025-2025
Streptomyces cyaneogriseus,0,,,,
Streptomyces ascomycinicus,0,,,,
Streptomyces avidinii,9,ILLUMINA; OXFORD_NANOPORE,WGS,1633509561.0,2024-2025
Streptomyces badius,14,ILLUMINA; OXFORD_NANOPORE; PACBIO_SMRT,WGS,2897522981.0,2018-2025
Arthrobacter oryzae,8,ABI_SOLID; ILLUMINA,WGS,5775209202.0,2024-2025
Fulvifomes sp.,0,,,,
Fusarium moniliforme,445,OXFORD_NANOPORE,WGS,14220833511.0,2026-2026
Matsuebacter chitosanotabidus,5,ILLUMINA,AMPLICON; WGS,3495163408.0,2020-2021
Memnoniella echinata,5,BGISEQ; DNBSEQ; ILLUMINA,AMPLICON; WGS,15601574459.0,2016-2026
Lysinibacillus sp.,9,ILLUMINA,WGS,7238453461.0,2024-2026
Lysinibacillus xylanilyticus,10,ILLUMINA; PACBIO_SMRT,AMPLICON; WGS,9126587170.0,2024-2026
Microbacterium flavum,1,ILLUMINA,WGS,777948063.0,2023-2023
Laceyella sacchari,8,ILLUMINA,RNA-Seq,15237260400.0,2025-2025
Lederbergia lenta,7,ILLUMINA,AMPLICON; WGS,3760652603.0,2022-2025
Klebsiella pneumoniae,151076,ILLUMINA,WGS,3237340305.0,2026-2026
Laetisaria arvalis,2,LS454,AMPLICON; OTHER,376682810.0,2014-2021
Lecanicillium araneicola,0,,,,
Gracilibacillus sp.,0,,,,
Gloeophyllum trabeum,65,ILLUMINA,RNA-Seq,38217054900.0,2026-2026
Thelebolus globosus,3,ILLUMINA; PACBIO_SMRT,RNA-Seq; WGS,21637095480.0,2025-2025
Trichaptum abietinum,344,ILLUMINA,WGS,10091416372.0,2025-2025
Actinomycetes bacterium,280,ABI_SOLID; ILLUMINA,WGA; WGS,8686417859.0,2025-2025
Vibrio parahaemolyticus,13040,ILLUMINA,WGS,1912225186.0,2026-2026
Vibrio gazogenes,46,ILLUMINA,RNA-Seq,77597565306.0,2025-2025
Thermobifida halotolerans,28,ILLUMINA,RNA-Seq,7689957370.0,2026-2026
Trichoderma viride,46,ILLUMINA,RNA-Seq,36295339500.0,2025-2025
Tropicoporus linteus,0,,,,
Absidia sp.,0,,,,
Vibrio alginolyticus,1285,ILLUMINA,WGS,3141069373.0,2026-2026
Verticillium leptobactrum,0,,,,
Yokenella regensburgei,15,ILLUMINA,WGS,7635490581.0,2022-2023
Abortiporus biennis,19,ABI_SOLID; ILLUMINA,RNA-Seq; WGS,21641342750.0,2018-2026
Acetobacterium sp.,1,ILLUMINA,WGS,14838052.0,2018-2018
Trichoderma fomiticola,0,,,,
Trichoderma hamatum,26,ILLUMINA,OTHER; RNA-Seq; WGS,7428201047.0,2021-2023
Trichoderma lixii,5,ILLUMINA; LS454,AMPLICON; WGS,2103865807.0,2020-2021
Trichoderma virens,166,ILLUMINA,RNA-Seq,29320995780.0,2025-2025
Trichothecium roseum,29,ILLUMINA,RNA-Seq,30616630744.0,2026-2026
Thermopolyspora flexuosa,2,PACBIO_SMRT,WGS,2542744483.0,2019-2019
Thyrostroma jaczewskii,0,,,,
Thermobacillus composti,1,PACBIO_SMRT,OTHER,570471906.0,2016-2016
Aliishimia ponticola,0,,,,
Alkalihalobacillus algicola,1,OXFORD_NANOPORE,WGS,1762923309.0,2024-2024
Alkalihalobacillus hwajinpoensis,6,ILLUMINA; OXFORD_NANOPORE,WGA; WGS,8100824850.0,2022-2025
Alternaria Solani,71,ELEMENT; OXFORD_NANOPORE; PACBIO_SMRT,WGS,28330146379.0,2026-2026
Alternaria brassicae,15,DNBSEQ; ILLUMINA; PACBIO_SMRT,AMPLICON; RNA-Seq; WGS,42677467640.0,2025-2026
Alternaria chlamydospora,0,,,,
Albosynnema elegans,0,,,,
Streptomyces swartbergensis,0,,,,
Streptomyces thermocarboxydovorans,0,,,,
Streptomyces thermogriseus,0,,,,
Streptomyces thermonitrificans,2,ILLUMINA,WGS,2697453430.0,2019-2024
Streptomyces thermoviolaceus,5,ILLUMINA; OXFORD_NANOPORE,WGS,4922259187.0,2019-2024
Streptomyces hypolithicus,0,,,,
Streptomyces lydicus,31,ILLUMINA,WGS,5200315170.0,2023-2024
Thermoanaerobacter sp.,5,ILLUMINA,WGS,10037897329.0,2018-2021
Terracoccus luteus,4,ILLUMINA; PACBIO_SMRT,WGS,7026980856.0,2018-2019
Terribacillus saccharophilus,10,ILLUMINA,WGS; ssRNA-seq,1679597701.0,2023-2025
Streptomyces thermovulgaris,2,ILLUMINA,WGS,2697453430.0,2019-2024
Streptomyces werraensis,5,ILLUMINA; OXFORD_NANOPORE,WGS,9405851472.0,2022-2024
Streptomyces sp.,188,ILLUMINA,WGS,20318781668.0,2026-2026
Talaromyces islandicus,2,DNBSEQ; ILLUMINA,AMPLICON; RNA-Seq,23603968013.0,2025-2025
Talaromyces minioluteus,0,,,,
Streptomyces rochei,30,ILLUMINA; OXFORD_NANOPORE; PACBIO_SMRT,WGS,2492416814.0,2025-2026
Alteromonas oceani,5,DNBSEQ; ILLUMINA,WGA; WGS,2170827167.0,2020-2025
Stemphylium vesicarium,48,ILLUMINA,RNA-Seq,33588577800.0,2026-2026
Stenotrophomonas geniculata,166,ILLUMINA,RNA-Seq,14609570100.0,2026-2026
Stenotrophomonas humi,0,,,,
Talaromyces pinophilus,31,DNBSEQ; ILLUMINA,RNA-Seq,49734373200.0,2023-2025
Talaromyces rugulosus,2,ILLUMINA; PACBIO_SMRT,WGS,23292919136.0,2020-2020
Talaromyces variabilis,0,,,,
Terrabacter tumescens,1,ILLUMINA,AMPLICON,31289460.0,2024-2024
Grammothele fuligo,0,,,,
Gymnopilus junonius,51,ILLUMINA; OXFORD_NANOPORE; PACBIO_SMRT,RNA-Seq; WGS,52438479514.0,2017-2021
Geonectria subalpina,0,,,,
Geotrichum candidum,167,ABI_SOLID; DNBSEQ; ILLUMINA,AMPLICON; WGS,4293949217.0,2022-2025
Gibellulopsis nigrescens,7,ION_TORRENT; PACBIO_SMRT,AMPLICON; MBD-Seq; WGS,14300280955.0,2022-2024
Gliocladium roseum,354,ILLUMINA,WGS; ssRNA-seq,36740354299.0,2024-2026
Gloeophyllum abietinum,0,,,,
Gloeophyllum odoratum,0,,,,
Halomonas cerina,1,ILLUMINA,WGS,3664369850.0,2019-2019
Halomonas denitrificans,2,DNBSEQ; ILLUMINA,WGS,2311226996.0,2018-2025
Halomonas gudaonensis,2,ILLUMINA; OXFORD_NANOPORE,WGS,1102203744.0,2016-2019
Halomonas maura,0,,,,
Halomonas pacifica,2,ILLUMINA,WGS,2700632590.0,2020-2023
Gloeophyllum striatum,0,,,,
Gongronella sp.,1,ILLUMINA,OTHER,1821.0,2025-2025
Gordonia desulfuricans,0,,,,
Halopseudomonas formosensis,3,ILLUMINA,WGA; WGS,1922917237.0,2016-2025
Halopseudomonas pelagia,1,ILLUMINA,WGS,7259.0,2017-2017
Halopseudomonas yangmingensis,2,ILLUMINA,WGS,1124810396.0,2016-2022
Hamadaea flava,1,PACBIO_SMRT,WGS,9768824988.0,2020-2020
Hamadaea sp.,2,ILLUMINA,WGS,2618174100.0,2024-2024
Exiguobacterium sibiricum,51,ILLUMINA; OXFORD_NANOPORE,RNA-Seq; WGS,2428884791.0,2024-2026
Exiguobacterium undae,13,ILLUMINA,WGS,5209897423.0,2021-2026
Halobyssothecium obiones,0,,,,
Inonotus hispidus,39,DNBSEQ,WGS,15776182800.0,2026-2026
Janthinobacterium sp.,1,ILLUMINA,WGS,343611696.0,2018-2018
Heterobasidion sp.,0,,,,
Hydropisphaera saulensis,0,,,,
Hymenomonas globosa,0,,,,
Hypocrea sp.,67,ILLUMINA,OTHER,8975.0,2025-2025
Hypocreales sp.,4,ILLUMINA,AMPLICON; RNA-Seq; WGS,20079300005.0,2018-2026
Hypomyces luteovirens,0,,,,
Kocuria palustris,24,ILLUMINA; PACBIO_SMRT,WGS,7858990756.0,2025-2025
Kocuria sp.,9,ILLUMINA,WGS; ssRNA-seq,4021349817.0,2025-2026
Kribbella albertanoniae,0,,,,
Kutzneria sp.,0,,,,
Microbacterium oleivorans,18,ILLUMINA; OXFORD_NANOPORE,WGS,2312514390.0,2025-2026
Microbacterium paraoxydans,33,ILLUMINA; OXFORD_NANOPORE,WGA; WGS,13501151647.0,2025-2026
Microbacterium radiodurans,1,OXFORD_NANOPORE,WGS,303085341.0,2026-2026
Microbacterium sp.,375,ILLUMINA,WGS,6481095.0,2026-2026
Leptobacillium leptobactrum,0,,,,
Leptosphaeria sp.,20,ILLUMINA,OTHER,8981.0,2025-2025
Leucobacter sp.,5,CAPILLARY; ILLUMINA,AMPLICON,7972560.0,2024-2025
Lactobacillus paracasei,742,ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGA; WGS,2606165822.0,2026-2026
Lactobacillus sp.,274,ILLUMINA,AMPLICON,185135047.0,2026-2026
Lasionectria martinicensis,0,,,,
Leiotrametes menziesii,29,ILLUMINA,RNA-Seq,39929070128.0,2018-2018
Lentinus tigrinus,64,ILLUMINA,RNA-Seq,24499306440.0,2019-2019
Limnospira indica,14,ILLUMINA,RNA-Seq,40392957732.0,2021-2021
Linnemannia gamsii,3,ILLUMINA,RNA-Seq; WGS,17087144840.0,2017-2017
Lophiostoma arundinis,1,LS454,AMPLICON,521.0,2021-2021
Lulwoana uniseptata,2,ILLUMINA,WGS,7378683856.0,2022-2022
Lentzea albidocapillata,4,ILLUMINA; OXFORD_NANOPORE,WGS,2848761888.0,2016-2021
Lentzea waywayandensis,1,ILLUMINA,WGS,867378730.0,2016-2016
Lenzites warnieri,0,,,,
Lepista nuda,7,ILLUMINA,AMPLICON; RNA-Seq; WGS,37744749318.0,2017-2026
Fusarium subglutinans,49,ABI_SOLID; ILLUMINA,AMPLICON; RAD-Seq,451785969.0,2020-2025
Fusarium tricinctum,29,ILLUMINA; PACBIO_SMRT,Hi-C; WGS,26854008305.0,2025-2025
Fuscoporia sp.,0,,,,
Haploporus alabamae,0,,,,
Herbihabitans rhizosphaerae,1,ILLUMINA,WGS,4611815424.0,2019-2019
Hericium erinaceus,51,ILLUMINA; OXFORD_NANOPORE,WGS,29784861242.0,2025-2026
Lichtheimia ramosa,30,ABI_SOLID; ILLUMINA,AMPLICON; WGS,12848241121.0,2022-2024
Lichtheimia sp.,1,ILLUMINA,OTHER,1396.0,2025-2025
Fusarium fujikuroi,284,ILLUMINA,WGS,17288118300.0,2026-2026
Flammulina velutipes,185,ILLUMINA,RNA-Seq; WGS,27442264562.0,2026-2026
Fomes meliae,0,,,,
Fomitiporia neotropica,0,,,,
Eupenicillium rubidurum,0,,,,
Eutypa sp.,0,,,,
Eutypella sp.,0,,,,
Exiguobacterium marinum,2,ILLUMINA,WGS,6852127828.0,2016-2016
Malassezia sp.,1,DNBSEQ,AMPLICON,447.0,2025-2025
Malbranchea cinnamomea,6,ILLUMINA,RNA-Seq,21248353476.0,2017-2017
Desulfovibrio desulfuricans,42,ILLUMINA,AMPLICON,11757966.0,2023-2023
Diaporthe italiana,0,,,,
Fusarium proliferatum,233,ILLUMINA; OXFORD_NANOPORE,WGS,13396655183.0,2026-2026
Fomitopsis pinicola,68,DNBSEQ; ILLUMINA,AMPLICON; WGS,2894014641.0,2025-2025
Fomitopsis sp.,2,ILLUMINA,OTHER,3335.0,2025-2025
Fusarium avenaceum,82,ILLUMINA; PACBIO_SMRT,Hi-C; RNA-Seq; WGS,29487490841.0,2026-2026
Methylobacterium radiotolerans,15,ILLUMINA; OXFORD_NANOPORE,WGS,3515596384.0,2022-2026
Meyerozyma caribbica,31,DNBSEQ; ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,482812455.0,2025-2026
Marinobacter algicola,15,DNBSEQ; ILLUMINA,WGS,2955135129.0,2024-2025
Marinobacter gudaonensis,4,DNBSEQ; ILLUMINA,WGS,4896186044.0,2016-2025
Marinobacter sediminum,54,OXFORD_NANOPORE,WGS,52110287.0,2026-2026
Massilia sp.,67,ILLUMINA,WGS,5927503.0,2026-2026
Metacordyceps chlamydosporia,25,ILLUMINA; OXFORD_NANOPORE; PACBIO_SMRT,RNA-Seq; WGS,51983677297.0,2021-2026
Lysinibacillus sphaericus,39,ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,3017912761.0,2025-2026
Microbispora,26,ILLUMINA,WGS,10899492570.0,2024-2025
Microbispora catharanthi,0,,,,
Microbispora oryzae,0,,,,
Microbispora rosea,6,ILLUMINA; PACBIO_SMRT,WGS,10188459812.0,2018-2024
Metarhizium anisopliae,109,ILLUMINA,RNA-Seq,33200468700.0,2026-2026
Metarhizium marquandii,14,ILLUMINA,RNA-Seq; WGS,7203033994.0,2025-2025
Metarhizium robertsii,224,ILLUMINA,RNA-Seq,29842671250.0,2026-2026
Methylobacterium fujisawaense,8,ILLUMINA; OXFORD_NANOPORE,WGS,5159793524.0,2025-2025
Niallia circulans,67,ILLUMINA,WGS,6949551977.0,2025-2026
Nocardia asteroides,23,ILLUMINA,WGS,9539175750.0,2024-2025
Nocardia farcinica,241,ILLUMINA,WGS,5383548942.0,2025-2025
Nocardioidaceae bacterium,11,ILLUMINA,AMPLICON; WGS,781629749.0,2024-2026
Nocardioides marinus,5,DNBSEQ; ILLUMINA; PACBIO_SMRT,WGA; WGS,7500171527.0,2019-2026
Nocardioides zeae,4,ILLUMINA; PACBIO_SMRT,WGS,18388883254.0,2021-2023
Neosartorya fischeri,149,CAPILLARY; ILLUMINA,AMPLICON; WGS,23822469086.0,2024-2026
Neosetophoma poaceicola,0,,,,
Micromonospora echinospora,12,ILLUMINA,WGS,15038714837.0,2024-2026
Micromonospora lutea,0,,,,
Micromonospora qiuiae,0,,,,
Micromonospora rifamycinica,7,ILLUMINA; OXFORD_NANOPORE; PACBIO_SMRT,WGS,9011482888.0,2016-2024
Microbispora rosea subsp. Aerata,0,,,,
Microbispora triticiradicis,1,ILLUMINA,WGS,1810482148.0,2024-2024
Micrococcus lylae,26,ILLUMINA,WGS,1739529581.0,2025-2025
Micrococcus mucilaginosus,139,BGISEQ,WGS,5323177836.0,2026-2026
Micromonospora saelicesensis,1,ILLUMINA,WGS,1023728358.0,2016-2016
Micromonospora taraxaci,6,ILLUMINA; PACBIO_SMRT,WGS,8470376890.0,2019-2024
Micromonospora viridifaciens,4,ILLUMINA; PACBIO_SMRT,WGS,3519111522.0,2016-2019
Microporus sp.,0,,,,
Moesziomyces antarcticus,4,DNBSEQ; ILLUMINA; OXFORD_NANOPORE; PACBIO_SMRT,AMPLICON; WGA; WGS,16258760461.0,2023-2025
Micromonospora acroterricola,0,,,,
Micromonospora carbonacea,6,ILLUMINA; PACBIO_SMRT,WGS,13377248859.0,2020-2025
Micromonospora craterilacus,0,,,,
Marasmiellus ramealis,0,,,,
Marasmius oreades,435,ILLUMINA,WGS,66114361200.0,2026-2026
Monascus sp.,1,ILLUMINA,OTHER,1795.0,2025-2025
Monocillium mucidum,0,,,,
Morinia sp.,0,,,,
Moritella sp.,5,ILLUMINA,POOLCLONE,17602093.0,2024-2024
Mortierella alpina,41,DNBSEQ; ILLUMINA; OXFORD_NANOPORE,AMPLICON; RNA-Seq; WGS,40057979149.0,2024-2025
Mortierella lignicola,2,ILLUMINA,WGS,4843579604.0,2017-2022
Enterobacter asburiae,1037,ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,6848787590.0,2026-2026
Enterobacter hormaechei subsp. Xiangfangensis,988,ILLUMINA; OXFORD_NANOPORE,WGS,4283784993.0,2026-2026
Enterobacter ludwigii,576,ILLUMINA,WGS,4383804974.0,2026-2026
Dichomitus squalens,562,ILLUMINA; PACBIO_SMRT,RNA-Seq; WGS,28398937054.0,2025-2025
Dichostereum effuscatum,0,,,,
Didymella pinodella,18,ILLUMINA,RNA-Seq,25381803438.0,2023-2023
Didymella sp.,25,ILLUMINA,AMPLICON,68368421.0,2021-2023
Diutina rugosa,5,ILLUMINA; OXFORD_NANOPORE,WGS,19450241658.0,2020-2025
Enterovibrio sp.,3,ILLUMINA,AMPLICON; WGS,5658599.0,2023-2026
Epicoccum dendrobii,0,,,,
Epicoccum duchesneae,0,,,,
Epicoccum sorghinum,16,ILLUMINA,RNA-Seq,37804673055.0,2024-2024
Epicoccum tritici,0,,,,
Escherichia coli,613710,ILLUMINA,WGS,2892791964.0,2026-2026
Embarria clematidis,0,,,,
Enterobacter agglomerans,422,ILLUMINA,WGS,9782533.0,2026-2026
Neocamarosporium sp.,1,DNBSEQ,AMPLICON,260.0,2025-2025
Neodidymelliopsis longicolla,0,,,,
Neodidymelliopsis sp.,0,,,,
Mucor circinelloides,448,ILLUMINA,RNA-Seq; WGS,30610446690.0,2026-2026
Murilentithecium clematidis,0,,,,
Mycena galericulata,10,ILLUMINA; PACBIO_SMRT,Hi-C; RNA-Seq; WGS,193936664923.0,2018-2025
Coniochaeta hoffmannii,7,BGISEQ; ILLUMINA; PACBIO_SMRT,RNA-Seq; WGS,17274543288.0,2023-2025
Coniochaeta sp.,10,ILLUMINA,AMPLICON; WGS,46193195.0,2021-2025
Neosetophoma rosigena,0,,,,
Neosetophoma sp.,0,,,,
Nesiotobacter exalbescens,4,ILLUMINA; OXFORD_NANOPORE,WGS,6677325874.0,2013-2026
Nia vibrissa,2,ILLUMINA,RNA-Seq; WGS,42263036358.0,2017-2018
Mycosphaerella lateris,0,,,,
Myrothecium gramineum,0,,,,
Neisseria sp.,66,ILLUMINA,WGS,4718241556.0,2025-2025
Neocamarosporium solicola,0,,,,
Novosphingobium sp.,48,ILLUMINA,WGS,2738838.0,2026-2026
Ochrobactrum intermedium,41,OXFORD_NANOPORE; PACBIO_SMRT,WGS,1794354978.0,2025-2025
Penicillium janthinellum,24,ILLUMINA,RNA-Seq,20245541400.0,2021-2021
Penicillium pinophilum,31,DNBSEQ; ILLUMINA,RNA-Seq,49734373200.0,2023-2025
Penicillium polonicum,32,ILLUMINA; PACBIO_SMRT,WGS,7672228581.0,2025-2025
Penicillium restrictum,2,LS454; PACBIO_SMRT,AMPLICON; WGS,4721551542.0,2021-2022
Penicillium crustosum,12,ILLUMINA; OXFORD_NANOPORE; PACBIO_SMRT,RNA-Seq; WGS,33942832499.0,2020-2025
Penicillium daleae,3,BGISEQ; OXFORD_NANOPORE,WGS,13233283764.0,2023-2023
Ophiosimulans tanaceti,0,,,,
Oscillatoria subbrevis,0,,,,
Paecilomyces lilacinus,123,ILLUMINA,RNA-Seq,38046242700.0,2026-2026
Nocardiopsis sp.,0,,,,
Nodulosphaeria multiseptata,0,,,,
Nonomuraea fastidiosa,0,,,,
Nonomuraea terrinata,0,,,,
Nothophoma quercina,2,BGISEQ; ILLUMINA,AMPLICON; WGS,15661298197.0,2022-2026
Paractinoplanes rishiriensis,0,,,,
Paractinoplanes tereljensis,1,PACBIO_SMRT,WGS,36742618035.0,2019-2019
Paradendryphiella arenariae,0,,,,
Paenibacillus macerans,24,ILLUMINA,WGS,4249980408.0,2023-2026
Paenibacillus urinalis,11,ILLUMINA; OXFORD_NANOPORE,WGS,17120378210.0,2023-2026
Panaeolus sphinctrinus,0,,,,
Paracoccus aminophilus,3,ILLUMINA,Hi-C; WGS,7722110717.0,2026-2026
Ochrobactrum oryzae,2,ILLUMINA; OXFORD_NANOPORE,WGS,790136402.0,2019-2020
Dermacpccis sp.,0,,,,
Mycena sanguinolenta,22,ILLUMINA,RNA-Seq; WGS,21274229034.0,2020-2020
Mycobacterium sp.,106,DNBSEQ; ILLUMINA,AMPLICON; WGA; WGS,23578509.0,2025-2025
Mycosphaerella arachidis,2,PACBIO_SMRT,WGS,49187530896.0,2026-2026
Paracoccus sp.,0,,,,
Paractinoplanes deccanensis,0,,,,
Paractinoplanes durhamensis,0,,,,
Paractinoplanes polyasparticus,1,ILLUMINA,WGS,2436165300.0,2022-2022
Curvularia senegalensis,0,,,,
Coprinopsis lagopus,1,OXFORD_NANOPORE,AMPLICON,339396.0,2025-2025
Cordyceps confragosa,10,ILLUMINA,WGS,10153113626.0,2023-2025
Cosmospora sp.,1,LS454,AMPLICON,521.0,2021-2021
Colletotrichum theobromicola,3,ILLUMINA,WGS,7391300749.0,2026-2026
Collimonas arenae,1,ILLUMINA,WGS,1674076298.0,2019-2019
Collimonas pratensis,4,ILLUMINA; LS454,WGS,1619977073.0,2020-2020
Parathyridaria sp.,0,,,,
Dactylosporangium aurantiacum,1,ILLUMINA,WGS,4371530936.0,2025-2025
Dactylosporangium matsuzakiense,3,ILLUMINA,RNA-Seq,5224674042.0,2021-2021
Dactylosporangium siamense,0,,,,
Dactylosporangium sp.,0,,,,
Dactylosporangium sucinum,0,,,,
Dactylosporangium vinaceum,3,ILLUMINA,RNA-Seq,5224674042.0,2021-2021
Cunninghamella sp.,3,ILLUMINA; OXFORD_NANOPORE,AMPLICON; OTHER,92582.0,2024-2025
Curvularia protuberata,2,ILLUMINA,WGS,12505109008.0,2010-2010
Penicillium aurantiogriseum,4,ILLUMINA; OXFORD_NANOPORE,RNA-Seq; WGS; miRNA-Seq,11019469843.0,2015-2021
Penicillium chermesinum,5,DNBSEQ; LS454; OXFORD_NANOPORE; PACBIO_SMRT,AMPLICON; WGS,1488044421.0,2021-2025
Paraglaciecola sp.,0,,,,
Parasarocladium sp.,1,ILLUMINA,OTHER,1795.0,2025-2025
Cladosporium asperulatum,0,,,,
Cladosporium basi-inflatum,0,,,,
Cyathus pallidus,9,PACBIO_SMRT,WGS,6465064205.0,2022-2025
Cytospora ceratosperma,0,,,,
Penicillium echinulatum,0,,,,
Penicillium glabrum,11,LS454; OXFORD_NANOPORE,AMPLICON; WGS,7045696984.0,2021-2023
Penicillium granulatum,0,,,,
Penicillium griseofulvum,4,DNBSEQ; ILLUMINA; PACBIO_SMRT,AMPLICON; WGS,24534740925.0,2018-2025
Peethambara spirostriata,0,,,,
Pelobacter venetianus,0,,,,
Pelosinus fermentans,15,ILLUMINA; PACBIO_SMRT,OTHER; WGS,2273908954.0,2016-2024
Penicillium adametzii,0,,,,
Cladosporium xanthochromaticum,0,,,,
Cladosporium xylophilum,2,PACBIO_SMRT,WGS,8306208898.0,2025-2025
Clonostachys buxi,0,,,,
Clonostachys pnagiana,0,,,,
Cladosporium funiculosum,0,,,,
Cladosporium montecillanum,2,OXFORD_NANOPORE,AMPLICON,,2026-2026
Cladosporium perangustum,2,ILLUMINA,WGS,83562500.0,2023-2023
Cladosporium ramotenellum,0,,,,
Phellinus robustus,0,,,,
Penicillium variabile,0,,,,
Perenniporia martia,0,,,,
Burkholderia vietnamiensis,1028,ILLUMINA; OXFORD_NANOPORE,WGS,8638352509.0,2025-2026
Clonostachys sp.,18,ILLUMINA,OTHER,8003.0,2025-2025
Clostridium hathewayi,67,ILLUMINA; PACBIO_SMRT,RNA-Seq; WGS,4735475200.0,2025-2026
Cobetia sp.,2,ILLUMINA,WGS,111052519.0,2018-2018
Cochliobolus sp.,12,DNBSEQ; ILLUMINA,AMPLICON; OTHER,7635.0,2025-2025
Phlebia radiata,33,DNBSEQ; ILLUMINA,AMPLICON; RNA-Seq,4002599099.0,2024-2025
Phormidium lucidum,0,,,,
Photobacterium ganghwense,7,ILLUMINA,AMPLICON; WGS,1458848065.0,2021-2026
Photorhabdus luminescens,92,ILLUMINA; OXFORD_NANOPORE,WGS,3466753707.0,2024-2026
Phaeophleospora eucalypticola,1,ILLUMINA,WGS,2163800645.0,2022-2022
Phaeosphaeria oryzae,0,,,,
Phaeosphaeria spartinicola,0,,,,
Phellinus apiahynus,0,,,,
Phytohabitans aurantiacus,1,ILLUMINA,WGS,1305967800.0,2022-2022
Phytohabitans houttuyneae,0,,,,
Phytohabitans rumicis,0,,,,
Picochlorum maculatum,0,,,,
Piptoporus betulinus,20,ILLUMINA; PACBIO_SMRT,RNA-Seq; WGS,26922623284.0,2018-2026
Piscinibacter gummiphilus,16,ILLUMINA,RNA-Seq,14638136444.0,2025-2025
Plantactinospora alkalitolerans,1,ILLUMINA,WGS,203318616.0,2020-2020
Plantactinospora endophytica,0,,,,
Pseudomonas stutzeri,1130,ILLUMINA; ION_TORRENT; OXFORD_NANOPORE,WGS,1237126459.0,2025-2026
Pseudomonas subflava,0,,,,
Pseudomonas syringae,2692,ILLUMINA,RNA-Seq,25349070600.0,2026-2026
Pseudomonas tuomurensis,0,,,,
Pseudomonas otitidis,104,CAPILLARY; ILLUMINA; OXFORD_NANOPORE; PACBIO_SMRT,RNA-Seq; WGS,1706432357.0,2025-2026
Pseudomonas pachastrellae,5,ILLUMINA,AMPLICON; RNA-Seq; WGS,1189177302.0,2016-2024
Pseudomonas plecoglossicida,136,ILLUMINA,AMPLICON; RNA-Seq; WGS,25926139038.0,2026-2026
Pseudomonas mandelii,12,CAPILLARY; DNBSEQ; ILLUMINA,AMPLICON; OTHER; WGS,3040751783.0,2021-2026
