organism,pubmed_plastic_count,pubmed_total_count
Calonectria pseudonaviculata,9.0,48.0
Candida antarctica,1352.0,1646.0
Candida rugosa,692.0,900.0
Candidatus bathyarchaeota,11.0,14.0
Chloroidium saccharophilum,6.0,11.0
Chrysebacterium nepalense,0.0,0.0
Chryseobacterium sp.,105.0,170.0
Chryseomonas luteola,17.0,
Chrysonectria finisterensis,1.0,1.0
Chrysosporium sp.,13.0,
Citrobacter amalonaticus,64.0,101.0
Ceriporiopsis gilvescens,0.0,1.0
Pseudomonas monteilii,62.0,100.0
Pseudomonas multiresinivorans,4.0,6.0
Pseudomonas nitroreducens,74.0,95.0
Pseudomonas capeferrum,7.0,13.0
Pseudomonas fluvialis,,2.0
Bacillus thermoruber,1.0,1.0
Bacillus thioparans,2.0,3.0
Chitinophaga jiangningensis,5.0,11.0
Brucella tritici,2.0,2.0
Bordetella petrii,27.0,39.0
Botryosphaeria dothidea,189.0,455.0
Botrytis sp.,15.0,44.0
Bacteroides sp.,212.0,459.0
Bdellovibrio bacteriovorus,221.0,490.0
Bifidobacterium infantis,260.0,495.0
Bacillus stearothermophilus,1998.0,2670.0
Pseudonocardia sp.,39.0,53.0
Bacillus altitudinis,134.0,262.0
Bacillus aquimaris,33.0,47.0
Brevibacillus reuszeri,5.0,
Brevibacterium sp.,135.0,177.0
Brevundimonas diminuta,90.0,168.0
Brevundimonas vesicularis,22.0,
Brucella cytisi,7.0,17.0
Pseudozyma sp.,17.0,27.0
Psychrobacillus sp.,3.0,6.0
Psychrobacter cryohalolentis,30.0,41.0
Purpureocillium sp.,5.0,8.0
Pyrenochaetopsis microspora,0.0,0.0
Pseudomonas vesicularis,15.0,32.0
Pseudonectria foliicola,2.0,
Pseudonocardia alni,7.0,11.0
Rhizobium viscosum,2.0,3.0
Rhizocola hellebori,0.0,
Rhizomucor miehei,375.0,464.0
Pyrenochaetopsis paucisetosa,0.0,2.0
Pyrenochaetopsis sp.,5.0,9.0
Rahnella aquatilis,93.0,204.0
Ralstonia eutropha,945.0,1029.0
Rasamsonia argillacea,5.0,33.0
Aspergillus calidoustus,19.0,71.0
Bacillus safensis,,298.0
Bacillus smithii,32.0,47.0
Bacillus sphericus,3.0,4.0
Bacillus idriensis,3.0,10.0
Bacillus infantis,13.0,22.0
Bacillus mycoides,115.0,
Bacillus niacini,13.0,21.0
Saccharothrix coeruleofusca,1.0,2.0
Saccharothrix cryophilis,1.0,1.0
Rhodococcus sovatensis,0.0,1.0
Rhodoferax fermentans,12.0,15.0
Rhodotorula sphaerocarpa,10.0,12.0
Rhizopus oligosporus,142.0,219.0
Rhodococcus equi,476.0,1458.0
Aspergillus brasiliensis,161.0,343.0
Saccharothrix mutabilis,6.0,9.0
Saccharothrix sp.,33.0,
Saccharothrix syringae,5.0,8.0
Saccharothrix texasensis,2.0,7.0
Roussoella scabrispora,0.0,1.0
Saccharopolyspora flava,2.0,7.0
Saccharopolyspora hirsuta,23.0,35.0
Saccharothrix australiensis,1.0,3.0
Bacillus stratosphericus,22.0,46.0
Bacillus subterraneus,3.0,6.0
Bacillus thermoamylovorans,42.0,59.0
Pseudophaeosphaeria rubi,312.0,949.0
Pseudoxanthomonas sp.,33.0,39.0
Saccharothrix deserti,0.0,1.0
Saccharothrix espanaensis,,21.0
Saccharothrix longispora,1.0,8.0
Serratia rubidaea,35.0,79.0
Salmonella sp.,276.0,968.0
Samsoniella hepiali,4.0,
Sarocladium kiliense,9.0,40.0
Amauroderma calcigenum,27.0,46.0
Amauroderma sp.,1.0,1.0
Aspergillus tritici,9.0,12.0
Aspergillus udagawae,6.0,33.0
Sphaerisporangium fuscum,0.0,1.0
Sphaeropsis sapinea,22.0,
Sclerostagonospora lathyri,0.0,0.0
Sclerotinia sclerotiorum,1060.0,2209.0
Sedecimiella taiwanensis,308.0,733.0
Septoria eucalyptorum,0.0,
Septoria sp.,0.0,7.0
Septoriella sp.,1.0,1.0
Sphingobacterium multivorum,44.0,86.0
Sphingomonas macrogoltabidus,6.0,9.0
Stagonosporopsis citrulli,4.0,15.0
Stagonosporopsis dorenboschii,0.0,
Staphylococcus cohnii,91.0,221.0
Shewanella putrefaciens,513.0,845.0
Sistotrema brinkmannii,4.0,9.0
Solwaraspora sp.,0.0,
Bacillus pakistanensis,1.0,2.0
Bacillus paramycoides,49.0,91.0
Bacillus atrophaeus,163.0,422.0
Bacillus brevis,445.0,576.0
Bacillus firmus,180.0,253.0
Bacillus hwajinpoensis,7.0,9.0
Aureobasidium melanogenum,78.0,108.0
Aureobasidium namibiae,,2.0
Aquabacterium parvum,6.0,11.0
Aquabacterium sp.,18.0,29.0
Arthrinium sp.,17.0,40.0
Amycolatopsis thailandensis,3.0,4.0
Amylosporus sp.,0.0,1.0
Amphora sp.,23.0,48.0
Alternaria solani,,582.0
Alternaria tenuissima,93.0,206.0
Staphylococcus xylosus,341.0,667.0
Staphylocuccus aureus,2.0,9.0
Stemphylium lucomagnoense,3.0,3.0
Stemphylium lycopersici,23.0,
Aestuariibacter halophilus,3.0,5.0
Anoxybacillus sp.,47.0,54.0
Apiospora marii,1.0,2.0
Apiospora rasikravindrae,0.0,3.0
Streptoalloteichus hindustanus,44.0,
Streptococcus equi,520.0,1180.0
Streptococcus mitior,36.0,66.0
Streptomyces albogriseolus,51.0,62.0
Streptomyces albovinaceus,3.0,
Stenotrophomonas rhizophila,53.0,110.0
Stereum sp.,3.0,12.0
Sterigmatomyces halophilus,11.0,17.0
Aspergillus nomiae,5.0,11.0
Aspergillus ochraceus,460.0,731.0
Aspergillus penicillioides,26.0,57.0
Aspergillus japonicus,124.0,159.0
Aspergillus keveii,1.0,4.0
Arthrographis kalrae,7.0,38.0
Asanoa hainanensis,0.0,3.0
Streptomyces bangladeshensis,2.0,3.0
Verrucosispora sp.,,22.0
Verticillium dahliae,813.0,1569.0
Trichothecium sp.,2.0,
Tritirachium album,44.0,50.0
Ulocladium sp.,12.0,24.0
Acidovorax facilis,27.0,29.0
Acidovorax soli,1.0,3.0
Trametes polyzona,9.0,22.0
Vibrio coralliilyticus,76.0,164.0
Vibrio furnisii,3.0,4.0
Vibrio proteolyticus,57.0,81.0
Vibrio sp.,397.0,675.0
Virgibacillus halodenitrificans,,30.0
Westerdykella dispersa,3.0,10.0
Vagicola chlamydospora,0.0,0.0
Verrucosispora sioxanthis,1.0,1.0
Actinomycetota bacterium,240.0,487.0
Actinoplanes sp. DH11,0.0,0.0
Streptomyces polychromogenes,1.0,
Xerula longipes,1.0,1.0
Xylaria adscendens,0.0,2.0
Xylaria comosoides,205.0,491.0
Xylaria telfairii,0.0,1.0
Achromobacter denitrificans,176.0,387.0
Alicycliphilus sp.,8.0,11.0
Aliiglaciecola lipolytica,4.0,4.0
Agaricus subrufescens,26.0,71.0
Agaricus xanthodermus,1.0,11.0
Agrocybe aegerita,143.0,
Agrocybe dura,5.0,7.0
Agrocybe praecox,6.0,9.0
Agrocybe sp.,3.0,4.0
Ketobacter alkanivorans,1.0,2.0
Kibdelosporangium banguiense,3.0,4.0
Kineococcus sp.,7.0,
Kitasatospora phosalacinea,4.0,4.0
Klebsiella grimontii,13.0,39.0
Klebsiella pneumonia,607.0,2173.0
Hypoxylon fendleri,1.0,3.0
Inonotus circinatus,1.0,1.0
Acremonium flavum,1.0,2.0
Actinokineospora alba,1.0,1.0
Acinetobacter gerneri,7.0,11.0
Acinetobacter johnsonii,,269.0
Acinetobacter oleivorans,39.0,42.0
Achromobacter sp.,211.0,
Geobacillus thermoleovorans,75.0,98.0
Geomyces pannorum,16.0,32.0
Thermoactinomyces vulgaris,165.0,296.0
Undibacterium pigrum,0.0,2.0
Actinokineospora xionganensis,,1.0
Actinomadura atramentaria,4.0,9.0
Actinomadura physcomitrii,1.0,3.0
Actinomadura rayongensis,0.0,2.0
Acinetobacter seifertii,10.0,27.0
Acinetobacter ursingii,13.0,53.0
Trametes sp.,82.0,100.0
Trichaptum biforme,,12.0
Trichaptum byssogenum,17.0,48.0
Thermoleophilaceae bacterium,1.0,4.0
Thermomyces dupontii,14.0,24.0
Thalassospira xiamenensis,5.0,8.0
Thelonectria veuillotiana,0.0,1.0
Thelypteris sp.,1.0,3.0
