organism,pubmed_plastic_count,pubmed_total_count
Xylaria feejeensis,9.0,15.0
Laceyella sp.,1.0,2.0
Lysinibacillus fusiformis,101.0,
Gordonia sp.,149.0,191.0
Gibberella sp.,2.0,5.0
Aspergillus glaucus,55.0,117.0
Fusarium pseudensiforme,,5.0
Diaphorobacter sp.,37.0,40.0
Strain IZU-154,,1.0
Saccharothrix waywayandensis,2.0,2.0
Rhodopseudomonas palustris,826.0,1028.0
Bacillus vietnamensis,10.0,15.0
Brevibacillus parabrevis,32.0,43.0
Brevibacillus borstelensis,39.0,60.0
Mucor sp.,74.0,203.0
Micrococcus sp.,189.0,356.0
Micromonosporales bacterium,1.0,3.0
Micromonospora matsumotoense,7.0,14.0
Nigrospora oryzae,55.0,126.0
Fomitopsis palustris,32.0,38.0
Moniliophthora roreri,27.0,65.0
Aspergillus sydowii,132.0,252.0
Aspergillus ustus,60.0,136.0
Fusarium decemcellulare,7.0,17.0
Flavodon ambrosius,,2.0
Aspergillus tubingensis,176.0,304.0
Rhodococcus rhodochrous,311.0,373.0
Alteromonas sp.,118.0,162.0
Aspergillus versicolor,279.0,
Arcopilus aureus,4.0,11.0
Trametes versicolor,1076.0,1359.0
Pseudomonas citronellolis,83.0,98.0
Rhodotorula mucilaginosa,367.0,750.0
Burkholderia cepacia,1800.0,3868.0
Rhizobacter sp.,1.0,2.0
Brevibacillus agri,35.0,48.0
Bacillus sp. SC9,0.0,0.0
Debaryomyces hansenii,542.0,928.0
Pycnoporus cinnabarinus,106.0,
Delftia sp.,71.0,90.0
Epicoccum sp.,19.0,
Plectosphaerella cucumerina,66.0,120.0
Polyangium brachysporum,5.0,6.0
Penicillium roqueforti,,427.0
Cladosporium halotolerans,12.0,40.0
Penicillium brevicompactum,158.0,238.0
Nocardiopsis prasina,12.0,18.0
Paraphoma radicina,1.0,12.0
Paraphoma sp.,4.0,8.0
Penicillium oxalicum,327.0,494.0
Oleispira antarctica,20.0,23.0
Paenarthrobacter ureafaciens,18.0,21.0
Cellulosimicrobium sp.,28.0,46.0
Coprinellus aureogranulatus,46.0,104.0
Curvularia lunata,222.0,
Cordyceps farinosa,8.0,17.0
Pleosporales sp.,15.0,32.0
Acidovorax delafieldii,19.0,25.0
Acremonium sp.,89.0,201.0
Acinetobacter septicus,2.0,4.0
Thermomonospora curvata,58.0,73.0
Phanerochaete pseudomagnolia,1734.0,1981.0
Phellinus amazonicus,0.0,1.0
Phlebiopsis flavidoalba,1.0,4.0
Corynebacterium sp.,172.0,395.0
Acinetobacter junii,104.0,199.0
Actinomucor elegans,37.0,56.0
Acidimicrobiales bacterium,16.0,38.0
Kaistella jeonii,2.0,4.0
Thermoascus aurantiacus,122.0,156.0
Amycolatopsis methanolica,37.0,48.0
Aequorivita sp.,2.0,3.0
Streptomyces gougerotti,,2.0
Actinoplanes ianthinogenes,8.0,10.0
Agrobacterium tumefaciens,4707.0,7809.0
Alternaria burnsii,7.0,14.0
Alcaligenes sp.,295.0,373.0
Streptomyces griseus,1435.0,1843.0
Streptomyces lateritius,6.0,
Streptomyces viridosporus,50.0,58.0
Talaromyces verruculosus,24.0,
Alternaria pseudoeichhorniae,1.0,1.0
Alternaria sp.,195.0,
Anoxybacillus flavithermus,53.0,94.0
Amycolatopsis coloradensis,5.0,
Jonesia denitrificans,9.0,18.0
Geomyces sp.,14.0,19.0
Ketobacter sp.,2.0,2.0
Kibdelosporangium aridum,13.0,18.0
Acinetobacter pittii,,250.0
Acidovorax avenae,58.0,119.0
Actinoallomurus spadix,1.0,4.0
Acinetobacter guillouiae,36.0,65.0
Acinetobacter sp.,,1397.0
Ureibacillus massiliensis,2.0,2.0
Actinokineospora spheciospongiae,3.0,8.0
Actinomadura keratinilytica,6.0,7.0
Thermomyces lanuginosus,464.0,583.0
Cladosporium sphaerospermum,,142.0
Cladosporium subcinereum,1.0,2.0
Cladosporium tenuissimum,22.0,47.0
Caenibacterium thermophilum,2.0,3.0
Caldimonas manganoxidans,8.0,10.0
Clostridium acetobutylicum,1051.0,1268.0
Clostridium sp.,427.0,642.0
Penicillium stoloniferum,24.0,41.0
Perenniporia sp.,,3.0
Cordyceps fumosorosea,9.0,50.0
Coprinellus bipellis,46.0,104.0
Crossiella sp.,1.0,2.0
Cupriavidus sp.,123.0,156.0
Pseudomonas lini,5.0,15.0
Pseudomonas litoralis,0.0,6.0
Pseudomonas oleovorans,215.0,271.0
Pseudomonas pavonaceae,15.0,15.0
Pseudomonas pseudoalcaligenes,225.0,
Plesporaceae sp.,152995.0,433793.0
Pseudomonas bauzanensis,2.0,5.0
Proteus mirabilis,2843.0,8066.0
Proteus sp.,137.0,433.0
Citrobacter koseri,,393.0
Cladosporium pseudocladosporioides,7.0,9.0
Colletotrichum fructicola,,202.0
Penicillium expansum,507.0,1017.0
Penicillium ochrochloron,25.0,55.0
Paecilomyces sp.,59.0,131.0
Paecilomyces variotii,135.0,304.0
Pantoea sp.,146.0,260.0
Didymosphaeriaceae sp.,3.0,15.0
Delftia tsuruhatensis,54.0,90.0
Emericella nidulans,231.0,315.0
Bacillus zanthoxyli,4.0,10.0
Botrytis cinerea,2867.0,5596.0
Brevundimonas sp.,73.0,112.0
Pseudomonas veronii,85.0,127.0
Ralstonia sp.,176.0,205.0
