organism,genus,n_plastics,plastics_degraded,breadth_score,rarity_score,recency_score,evidence_gap_score,novelty_potential,last_year,has_sequence,has_enzyme
Aspergillus sp.,Aspergillus,7,"['LDPE', 'PBS', 'PBSA', 'PE', 'PET', 'PHB', 'PU']",31.82,30.18,90.0,50,47.59,2023.0,False,True
Jonesia denitrificans,Jonesia,2,"['HDPE', 'PET']",9.09,99.21,100.0,0,47.53,2025.0,True,True
Fusarium solani,Fusarium,10,"['LDPE', 'PBAT', 'PBS', 'PCL', 'PE', 'PET', 'PHB', 'PLA', 'PMCL', 'PU']",45.45,62.92,90.0,0,47.37,2023.0,True,True
Fusarium oxysporum,Fusarium,10,"['LDPE', 'PBSA', 'PCL', 'PE', 'PET', 'PHB', 'PHBV', 'PLA', 'PP', 'PU']",45.45,62.92,90.0,0,47.37,2023.0,True,True
Aspergillus fumigatus,Aspergillus,16,"['LDPE', 'PBAT', 'PBAT-Blend', 'PBS', 'PBSA', 'PCL', 'PE', 'PES', 'PETG', 'PHA', 'PHB', 'PHBV', 'PLA', 'PP', 'PU', 'PVC']",72.73,30.18,90.0,0,47.36,2023.0,True,True
Halomonas aquamarina,Halomonas,4,"['HDPE', 'LDPE', 'PET', 'PP']",18.18,94.87,90.0,0,47.17,2023.0,False,False
Halomonas sp.,Halomonas,4,"['HDPE', 'LDPE', 'PET', 'PP']",18.18,94.87,90.0,0,47.17,2023.0,False,True
Pseudogymnoascus pannorum,Pseudogymnoascus,4,"['PBAT', 'PCL', 'PU', 'PVC']",18.18,94.48,90.0,0,47.07,2023.0,False,True
Microbulbifer sp.,Microbulbifer,4,"['P(3HB-co-4HB)', 'P(3HB-co-HV)', 'PCL', 'PHB']",18.18,98.42,85.0,0,47.06,2022.0,False,False
Exiguobacterium profundum,Exiguobacterium,4,"['HDPE', 'LDPE', 'PET', 'PP']",18.18,94.08,90.0,0,46.98,2023.0,False,False
Alternaria alternata,Alternaria,4,"['PCL', 'PE', 'PHB', 'PU']",18.18,93.69,90.0,0,46.88,2023.0,False,True
Neodevriesia sp.,Neodevriesia,3,"['PBAT', 'PCL', 'PLA']",13.64,98.42,90.0,0,46.7,2023.0,False,False
Xanthomonas sp.,Xanthomonas,3,"['PET', 'PHPV', 'PU']",13.64,98.42,90.0,0,46.7,2023.0,False,True
Chaetomium globosum,Chaetomium,4,"['LDPE', 'PCL', 'PE', 'PVC']",18.18,96.84,85.0,0,46.67,2022.0,False,True
Lachnellula sp.,Lachnellula,3,"['PBAT', 'PLA', 'PU']",13.64,98.03,90.0,0,46.6,2023.0,False,False
Trichoderma harzianum,Trichoderma,4,"['PCL', 'PE', 'PHB', 'PLA']",18.18,92.5,90.0,0,46.58,2023.0,False,True
Streptococcus sp.,Streptococcus,4,"['HDPE', 'LLDPE', 'PE', 'PVC']",18.18,96.45,85.0,0,46.57,2022.0,False,True
Staphylococcus sp.,Staphylococcus,4,"['LDPE', 'PCL', 'PE', 'PVC']",18.18,96.45,85.0,0,46.57,2022.0,False,True
Meyerozyma guilliermondii,Meyerozyma,3,"['LDPE', 'PE', 'PHB']",13.64,97.63,90.0,0,46.5,2023.0,False,True
Roseateles depolymerans,Roseateles,6,"['PBSA', 'PBSTIL', 'PCL', 'PHC', 'PTC', 'PTS']",27.27,96.84,70.0,0,46.39,2019.0,False,True
Amycolatopsis tolypomycina,Amycolatopsis,5,"['PBS', 'PCL', 'PET', 'PHB', 'PLA']",22.73,78.3,100.0,0,46.39,2025.0,True,True
Papiliotrema laurentii,Papiliotrema,5,"['PBSA', 'PCL', 'PEA', 'PES', 'PU']",22.73,98.03,75.0,0,46.33,2020.0,False,True
Ralstonia pickettii,Ralstonia,8,"['P3HP', 'P4HB', 'PCL', 'PEA', 'PES', 'PHA', 'PHB', 'PHC']",36.36,93.69,60.0,0,46.33,2017.0,True,True
Stenotrophomonas maltophilia,Stenotrophomonas,4,"['LDPE', 'PET', 'PHO', 'PLA']",18.18,91.32,90.0,0,46.28,2023.0,False,True
Thermoleophilaceae bacterium,Thermoleophilaceae,1,['PET'],4.55,99.61,100.0,0,46.27,2025.0,True,True
Cellulomonas iranensis,Cellulomonas,1,['PET'],4.55,99.61,100.0,0,46.27,2025.0,True,True
Sphaerisporangium fuscum,Sphaerisporangium,1,['PET'],4.55,99.61,100.0,0,46.27,2025.0,True,True
Promicromonospora panici,Promicromonospora,1,['PET'],4.55,99.61,100.0,0,46.27,2025.0,True,True
Asanoa hainanensis,Asanoa,1,['PET'],4.55,99.61,100.0,0,46.27,2025.0,True,True
Piscinibacter gummiphilus,Piscinibacter,1,['PET'],4.55,99.61,100.0,0,46.27,2025.0,True,True
Herbihabitans rhizosphaerae,Herbihabitans,1,['PET'],4.55,99.61,100.0,0,46.27,2025.0,True,True
Cladosporium sp.,Cladosporium,5,"['PBSA', 'PCL', 'PHB', 'PU', 'PVA']",22.73,85.8,90.0,0,46.27,2023.0,False,True
Kutzneria sp.,Kutzneria,1,['PET'],4.55,99.61,100.0,0,46.27,2025.0,True,True
Microbispora,,1,['PET'],4.55,99.61,100.0,0,46.27,2025.0,True,True
Solwaraspora sp.,Solwaraspora,1,['PET'],4.55,99.61,100.0,0,46.27,2025.0,True,True
Rhizocola hellebori,Rhizocola,1,['PET'],4.55,99.61,100.0,0,46.27,2025.0,True,True
Cladosporium cladosporioides,Cladosporium,5,"['LDPE', 'O-PE', 'PE', 'PET', 'PU']",22.73,85.8,90.0,0,46.27,2023.0,False,True
Hamadaea flava,Hamadaea,1,['PET'],4.55,99.21,100.0,0,46.17,2025.0,True,True
Actinoallomurus spadix,Actinoallomurus,1,['PET'],4.55,99.21,100.0,0,46.17,2025.0,True,True
Plantactinospora endophytica,Plantactinospora,1,['PET'],4.55,99.21,100.0,0,46.17,2025.0,True,True
Micromonosporaceae bacterium,Micromonosporaceae,1,['PET'],4.55,99.21,100.0,0,46.17,2025.0,True,True
Crossiella sp.,Crossiella,1,['PET'],4.55,99.21,100.0,0,46.17,2025.0,True,True
Saccharopolyspora hirsuta,Saccharopolyspora,1,['PET'],4.55,99.21,100.0,0,46.17,2025.0,True,True
Catellatospora bangladeshensis,Catellatospora,1,['PET'],4.55,99.21,100.0,0,46.17,2025.0,True,True
Verrucosispora sioxanthis,Verrucosispora,1,['PET'],4.55,99.21,100.0,0,46.17,2025.0,True,True
Verrucosispora sp.,Verrucosispora,1,['PET'],4.55,99.21,100.0,0,46.17,2025.0,True,True
Catellatospora methionotrophica,Catellatospora,1,['PET'],4.55,99.21,100.0,0,46.17,2025.0,True,True
Hamadaea sp.,Hamadaea,1,['PET'],4.55,99.21,100.0,0,46.17,2025.0,True,True
Plantactinospora alkalitolerans,Plantactinospora,1,['PET'],4.55,99.21,100.0,0,46.17,2025.0,True,True
Actinomycetes bacterium,Actinomycetes,1,['PET'],4.55,99.21,100.0,0,46.17,2025.0,True,True
Acidimicrobiales bacterium,Acidimicrobiales,1,['PET'],4.55,98.82,100.0,0,46.07,2025.0,True,True
Phytohabitans houttuyneae,Phytohabitans,1,['PET'],4.55,98.82,100.0,0,46.07,2025.0,True,True
Halopseudomonas yangmingensis,Halopseudomonas,1,['PET'],4.55,98.82,100.0,0,46.07,2025.0,True,True
Actinoplanes sp. DH11,Actinoplanes,1,['PET'],4.55,98.82,100.0,0,46.07,2025.0,True,True
Actinoplanes ianthinogenes,Actinoplanes,1,['PET'],4.55,98.82,100.0,0,46.07,2025.0,True,True
Micromonosporales bacterium,Micromonosporales,1,['PET'],4.55,98.82,100.0,0,46.07,2025.0,True,True
Phytohabitans rumicis,Phytohabitans,1,['PET'],4.55,98.82,100.0,0,46.07,2025.0,True,True
Phytohabitans aurantiacus,Phytohabitans,1,['PET'],4.55,98.82,100.0,0,46.07,2025.0,True,True
Kibdelosporangium banguiense,Kibdelosporangium,1,['PET'],4.55,98.82,100.0,0,46.07,2025.0,True,True
Bjerkandera adusta,Bjerkandera,4,"['Nylon', 'PHB', 'PLA', 'PU']",18.18,98.42,80.0,0,46.06,2021.0,False,True
Acinetobacter calcoaceticus,Acinetobacter,4,"['LDPE', 'PCL', 'PHA', 'PHC']",18.18,90.14,90.0,0,45.99,2023.0,False,True
Actinokineospora xionganensis,Actinokineospora,1,['PET'],4.55,98.42,100.0,0,45.97,2025.0,True,True
Actinokineospora alba,Actinokineospora,1,['PET'],4.55,98.42,100.0,0,45.97,2025.0,True,True
Actinokineospora spheciospongiae,Actinokineospora,1,['PET'],4.55,98.42,100.0,0,45.97,2025.0,True,True
Burkholderia cepacia,Burkholderia,3,"['LDPE', 'PBSA', 'PLA Blend']",13.64,95.27,90.0,0,45.91,2023.0,True,True
Paractinoplanes polyasparticus,Paractinoplanes,1,['PET'],4.55,98.03,100.0,0,45.87,2025.0,True,True
Paractinoplanes durhamensis,Paractinoplanes,1,['PET'],4.55,98.03,100.0,0,45.87,2025.0,True,True
Paractinoplanes rishiriensis,Paractinoplanes,1,['PET'],4.55,98.03,100.0,0,45.87,2025.0,True,True
Paractinoplanes tereljensis,Paractinoplanes,1,['PET'],4.55,98.03,100.0,0,45.87,2025.0,True,True
Paractinoplanes deccanensis,Paractinoplanes,1,['PET'],4.55,98.03,100.0,0,45.87,2025.0,True,True
Rhizobacter sp.,Rhizobacter,1,['PET'],4.55,98.03,100.0,0,45.87,2025.0,True,True
Plectosphaerella cucumerina,Plectosphaerella,3,"['PBSA', 'PCL', 'PVA']",13.64,98.82,85.0,0,45.8,2022.0,False,True
Cellulosimicrobium sp.,Cellulosimicrobium,3,"['PE', 'PHB', 'PHBV']",13.64,98.82,85.0,0,45.8,2022.0,False,True
Kaistella jeonii,Kaistella,3,"['PCL', 'PET', 'PU']",13.64,98.82,85.0,0,45.8,2022.0,True,True
Actinomucor elegans,Actinomucor,3,"['PHB', 'PHB-Blend', 'PLA']",13.64,98.82,85.0,0,45.8,2022.0,False,True
Dactylosporangium matsuzakiense,Dactylosporangium,1,['PET'],4.55,97.63,100.0,0,45.77,2025.0,True,True
Dactylosporangium siamense,Dactylosporangium,1,['PET'],4.55,97.63,100.0,0,45.77,2025.0,True,True
Dactylosporangium sp.,Dactylosporangium,1,['PET'],4.55,97.63,100.0,0,45.77,2025.0,True,True
Dactylosporangium vinaceum,Dactylosporangium,1,['PET'],4.55,97.63,100.0,0,45.77,2025.0,True,True
Dactylosporangium sucinum,Dactylosporangium,1,['PET'],4.55,97.63,100.0,0,45.77,2025.0,True,True
Dactylosporangium aurantiacum,Dactylosporangium,1,['PET'],4.55,97.63,100.0,0,45.77,2025.0,True,True
Pseudogymnoascus verrucosus,Pseudogymnoascus,3,"['PBAT', 'PLA', 'PU']",13.64,94.48,90.0,0,45.71,2023.0,False,False
Nocardiopsis prasina,Nocardiopsis,3,"['LDPE', 'PLA', 'PS']",13.64,98.42,85.0,0,45.7,2022.0,False,False
Microbispora catharanthi,Microbispora,1,['PET'],4.55,97.24,100.0,0,45.67,2025.0,True,True
Microbispora oryzae,Microbispora,1,['PET'],4.55,97.24,100.0,0,45.67,2025.0,True,True
Microbispora sp.,Microbispora,1,['PET'],4.55,97.24,100.0,0,45.67,2025.0,True,True
Microbispora rosea subsp. Aerata,Microbispora,1,['PET'],4.55,97.24,100.0,0,45.67,2025.0,True,True
Microbispora triticiradicis,Microbispora,1,['PET'],4.55,97.24,100.0,0,45.67,2025.0,True,True
Thermobifida cellulosilytica,Thermobifida,3,"['PEF', 'PET', 'PLA']",13.64,86.19,100.0,0,45.64,2025.0,True,True
Flavobacterium sp.,Flavobacterium,2,"['LDPE', 'PU']",9.09,99.21,90.0,0,45.53,2023.0,False,True
Agrobacterium tumefaciens,Agrobacterium,2,"['PHA', 'PS']",9.09,99.21,90.0,0,45.53,2023.0,False,True
Thelebolus globosus,Thelebolus,2,"['PBAT', 'PU']",9.09,99.21,90.0,0,45.53,2023.0,False,False
Pantoea sp.,Pantoea,2,"['LDPE', 'PU']",9.09,99.21,90.0,0,45.53,2023.0,False,True
Perenniporia sp.,Perenniporia,2,"['LDPE', 'PU']",9.09,98.82,90.0,0,45.43,2023.0,False,True
Aequorivita sp.,Aequorivita,3,"['PCL', 'PET', 'PU']",13.64,97.24,85.0,0,45.4,2022.0,True,True
Comamonas sp.,Comamonas,4,"['PE', 'PHB', 'PHBV', 'PHO']",18.18,91.72,85.0,0,45.38,2022.0,False,True
Humicola insolens,Humicola,2,"['PEF', 'PET']",9.09,98.42,90.0,0,45.33,2023.0,True,True
Klebsiella pneumoniae,Klebsiella,2,"['HDPE', 'PE']",9.09,98.42,90.0,0,45.33,2023.0,False,True
Brevundimonas sp.,Brevundimonas,2,"['PCL', 'PS']",9.09,98.42,90.0,0,45.33,2023.0,False,True
Hypoxylon sp.,Hypoxylon,2,"['LDPE', 'PU']",9.09,98.03,90.0,0,45.23,2023.0,False,True
Ideonella sakaiensis,Ideonella,2,"['PEF', 'PET']",9.09,98.03,90.0,0,45.23,2023.0,True,True
Pseudozyma antarctica,Pseudozyma,5,"['PBS', 'PBS-Blend', 'PBSA', 'PBSA-Blend', 'PCL']",22.73,97.63,70.0,0,45.23,2019.0,True,True
Shewanella sp.,Shewanella,2,"['PCL', 'PHB']",9.09,98.03,90.0,0,45.23,2023.0,False,True
Citrobacter koseri,Citrobacter,2,"['HDPE', 'PVC']",9.09,98.03,90.0,0,45.23,2023.0,False,False
Proteus sp.,Proteus,2,"['PU', 'PVC']",9.09,98.03,90.0,0,45.23,2023.0,False,False
Micrococcus sp.,Micrococcus,3,"['PE', 'PU', 'PVC']",13.64,96.45,85.0,0,45.2,2022.0,False,True
Actinomadura physcomitrii,Actinomadura,1,['PET'],4.55,95.27,100.0,0,45.18,2025.0,True,True
Actinomadura rayongensis,Actinomadura,1,['PET'],4.55,95.27,100.0,0,45.18,2025.0,True,True
Actinomadura atramentaria,Actinomadura,1,['PET'],4.55,95.27,100.0,0,45.18,2025.0,True,True
Rhodotorula mucilaginosa,Rhodotorula,2,"['PE', 'PLA']",9.09,97.63,90.0,0,45.14,2023.0,False,True
Paraphoma radicina,Paraphoma,3,"['PBS', 'PBSA', 'PCL']",13.64,96.06,85.0,0,45.1,2022.0,False,True
Saccharothrix deserti,Saccharothrix,1,['PET'],4.55,94.87,100.0,0,45.08,2025.0,True,True
Saccharothrix sp.,Saccharothrix,1,['PET'],4.55,94.87,100.0,0,45.08,2025.0,True,True
Verticillium leptobactrum,Verticillium,2,"['PBAT', 'PU']",9.09,97.24,90.0,0,45.04,2023.0,False,False
Thermobifida fusca,Thermobifida,4,"['PBAT', 'PBAT-Blend', 'PCL', 'PET']",18.18,86.19,90.0,0,45.0,2023.0,True,True
Lysinibacillus sp.,Lysinibacillus,2,"['PCL', 'PU']",9.09,96.84,90.0,0,44.94,2023.0,False,True
Lysinibacillus fusiformis,Lysinibacillus,2,"['LDPE', 'PE']",9.09,96.84,90.0,0,44.94,2023.0,False,True
Moniliophthora roreri,Moniliophthora,3,"['PCL', 'PES', 'PET']",13.64,98.82,80.0,0,44.8,2021.0,True,True
Brevibacillus parabrevis,Brevibacillus,3,"['HDPE', 'LDPE', 'PET']",13.64,90.53,90.0,0,44.72,2023.0,False,True
Burkholderia sp.,Burkholderia,2,"['PHA', 'PU']",9.09,95.27,90.0,0,44.54,2023.0,False,True
Stachybotrys chartarum,Stachybotrys,2,"['LDPE', 'PE']",9.09,99.21,85.0,0,44.53,2022.0,False,False
Memnoniella echinata,Memnoniella,2,"['LDPE', 'PE']",9.09,99.21,85.0,0,44.53,2022.0,False,False
Pseudoalteromonas sp.,Pseudoalteromonas,2,"['Nylon', 'PCL']",9.09,94.87,90.0,0,44.45,2023.0,False,False
Paenibacillus sp.,Paenibacillus,5,"['HDPE', 'LDPE', 'PHB', 'PLA', 'PVA']",22.73,94.48,70.0,0,44.44,2019.0,True,True
Oleispira antarctica,Oleispira,2,"['PCL', 'PET']",9.09,98.82,85.0,0,44.43,2022.0,True,True
Colletotrichum fructicola,Colletotrichum,2,"['LDPE', 'PU']",9.09,98.82,85.0,0,44.43,2022.0,False,True
Botrytis cinerea,Botrytis,2,"['PCL', 'PU']",9.09,98.82,85.0,0,44.43,2022.0,False,True
Sarocladium strictum,Sarocladium,2,"['PBSA', 'PCL']",9.09,98.82,85.0,0,44.43,2022.0,False,True
Psychrobacter sp.,Psychrobacter,2,"['PCL', 'PE']",9.09,98.82,85.0,0,44.43,2022.0,True,True
Micromonospora qiuiae,Micromonospora,1,['PET'],4.55,92.11,100.0,0,44.39,2025.0,True,True
Micromonospora lutea,Micromonospora,1,['PET'],4.55,92.11,100.0,0,44.39,2025.0,True,True
Micromonospora acroterricola,Micromonospora,1,['PET'],4.55,92.11,100.0,0,44.39,2025.0,True,True
Micromonospora carbonacea,Micromonospora,1,['PET'],4.55,92.11,100.0,0,44.39,2025.0,True,True
Micromonospora craterilacus,Micromonospora,1,['PET'],4.55,92.11,100.0,0,44.39,2025.0,True,True
Micromonospora rifamycinica,Micromonospora,1,['PET'],4.55,92.11,100.0,0,44.39,2025.0,True,True
Micromonospora sp.,Micromonospora,1,['PET'],4.55,92.11,100.0,0,44.39,2025.0,True,True
Micromonospora saelicesensis,Micromonospora,1,['PET'],4.55,92.11,100.0,0,44.39,2025.0,True,True
Micromonospora taraxaci,Micromonospora,1,['PET'],4.55,92.11,100.0,0,44.39,2025.0,True,True
Alteromonas sp.,Alteromonas,2,"['PHBH', 'PU']",9.09,98.42,85.0,0,44.33,2022.0,False,True
Thermobacillus composti,Thermobacillus,1,['PBAT'],4.55,99.61,90.0,0,44.27,2023.0,True,True
Geotrichum candidum,Geotrichum,1,['LDPE'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Thalassospira xiamenensis,Thalassospira,1,['PET'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Amphora sp.,Amphora,1,['LDPE'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Rhizomucor miehei,Rhizomucor,1,['PET'],4.55,99.61,90.0,0,44.27,2023.0,False,True
Picochlorum maculatum,Picochlorum,1,['LDPE'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Paraglaciecola sp.,Paraglaciecola,1,['PCL'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Abortiporus biennis,Abortiporus,1,['PS'],4.55,99.61,90.0,0,44.27,2023.0,False,True
Aliishimia ponticola,Aliishimia,1,['LDPE'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Kribbella albertanoniae,Kribbella,1,['PU'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Photorhabdus luminescens,Photorhabdus,1,['PCL'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Samsoniella hepiali,Samsoniella,1,['PU'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Enterovibrio sp.,Enterovibrio,1,['PCL'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Pleurostoma richardsiae,Pleurostoma,1,['PP'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Dermacpccis sp.,Dermacpccis,1,['PS'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Malassezia sp.,Malassezia,1,['PVC'],4.55,99.61,90.0,0,44.27,2023.0,False,True
Chrysebacterium nepalense,Chrysebacterium,1,['LDPE'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Chloroidium saccharophilum,Chloroidium,1,['LDPE'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Candidatus bathyarchaeota,Candidatus,1,['PET'],4.55,99.61,90.0,0,44.27,2023.0,True,True
Chryseobacterium sp.,Chryseobacterium,1,['PE'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Photobacterium ganghwense,Photobacterium,1,['LDPE'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Linnemannia gamsii,Linnemannia,1,['PU'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Limnospira indica,Limnospira,1,['LDPE'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Yokenella regensburgei,Yokenella,1,['PS'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Hymenomonas globosa,Hymenomonas,1,['LDPE'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Thelypteris sp.,Thelypteris,1,['PU'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Sterigmatomyces halophilus,Sterigmatomyces,1,['LDPE'],4.55,99.61,90.0,0,44.27,2023.0,False,True
Westerdykella dispersa,Westerdykella,1,['PBAT'],4.55,99.61,90.0,0,44.27,2023.0,False,False
Saccharomonospora viridis,Saccharomonospora,8,"['PBAT', 'PBS', 'PBSA', 'PCL', 'PET', 'PHA', 'PHB', 'PLA']",36.36,93.29,50.0,0,44.23,2015.0,True,True
Alcanivorax sp.,Alcanivorax,3,"['LDPE', 'PCL', 'PHB']",13.64,92.5,85.0,0,44.22,2022.0,False,True
Candida antarctica,Candida,1,['PET'],4.55,99.21,90.0,0,44.17,2023.0,False,True
Nocardioides marinus,Nocardioides,1,['PET'],4.55,99.21,90.0,0,44.17,2023.0,False,False
Lactobacillus paracasei,Lactobacillus,1,['PCL'],4.55,99.21,90.0,0,44.17,2023.0,False,False
Coniochaeta hoffmannii,Coniochaeta,1,['PP'],4.55,99.21,90.0,0,44.17,2023.0,False,False
Rhodococcus fascians,Rhodococcus,5,"['PBAT', 'PBS', 'PBSA', 'PCL', 'PES']",22.73,85.4,80.0,0,44.17,2021.0,True,True
Brucella cytisi,Brucella,1,['LDPE'],4.55,99.21,90.0,0,44.17,2023.0,False,False
Methylobacterium fujisawaense,Methylobacterium,1,['LDPE'],4.55,99.21,90.0,0,44.17,2023.0,False,False
Methylobacterium radiotolerans,Methylobacterium,1,['LDPE'],4.55,99.21,90.0,0,44.17,2023.0,False,False
Engyodontium album,Engyodontium,1,['PP'],4.55,99.21,90.0,0,44.17,2023.0,False,False
Exophilia sp.,Exophilia,1,['PU'],4.55,99.21,90.0,0,44.17,2023.0,False,False
Collimonas pratensis,Collimonas,1,['PU'],4.55,99.21,90.0,0,44.17,2023.0,False,False
Collimonas arenae,Collimonas,1,['PU'],4.55,99.21,90.0,0,44.17,2023.0,False,False
Lecanicillium araneicola,Lecanicillium,1,['PE'],4.55,99.21,90.0,0,44.17,2023.0,False,False
Sarcina aurantiaca,Sarcina,1,['PET'],4.55,99.21,90.0,0,44.17,2023.0,False,True
Aquabacterium parvum,Aquabacterium,1,['PET'],4.55,99.21,90.0,0,44.17,2023.0,False,True
Aquabacterium sp.,Aquabacterium,1,['PCL'],4.55,99.21,90.0,0,44.17,2023.0,False,True
Brucella tritici,Brucella,1,['LDPE'],4.55,99.21,90.0,0,44.17,2023.0,False,False
Micromonospora matsumotoense,Micromonospora,3,"['LDPE', 'PLA', 'PS']",13.64,92.11,85.0,0,44.12,2022.0,False,False
Arcopilus aureus,Arcopilus,1,['LDPE'],4.55,98.82,90.0,0,44.07,2023.0,False,True
Arthrinium sp.,Arthrinium,1,['PU'],4.55,98.82,90.0,0,44.07,2023.0,False,False
Nigrospora oryzae,Nigrospora,1,['LDPE'],4.55,98.82,90.0,0,44.07,2023.0,False,True
Halopseudomonas formosensis,Halopseudomonas,1,['PU'],4.55,98.82,90.0,0,44.07,2023.0,True,True
Flavodon ambrosius,Flavodon,1,['LDPE'],4.55,98.82,90.0,0,44.07,2023.0,False,True
Arthrinium sacchari,Arthrinium,1,['LDPE'],4.55,98.82,90.0,0,44.07,2023.0,False,False
Psychrobacter cryohalolentis,Psychrobacter,1,['PU'],4.55,98.82,90.0,0,44.07,2023.0,False,False
Pestalotiopsis sp.,Pestalotiopsis,2,"['PCL', 'PU']",9.09,97.24,85.0,0,44.04,2022.0,False,True
Aequorivita viscosa,Aequorivita,2,"['PCL', 'PU']",9.09,97.24,85.0,0,44.04,2022.0,True,True
Aequorivita vladivostokensis,Aequorivita,2,"['PCL', 'PU']",9.09,97.24,85.0,0,44.04,2022.0,True,True
Klebsiella pneumonia,Klebsiella,1,['PET'],4.55,98.42,90.0,0,43.97,2023.0,False,False
Klebsiella grimontii,Klebsiella,1,['PS'],4.55,98.42,90.0,0,43.97,2023.0,False,False
Alteromonas oceani,Alteromonas,1,['LDPE'],4.55,98.42,90.0,0,43.97,2023.0,False,False
Serratia sp.,Serratia,2,"['LDPE', 'PU']",9.09,92.9,90.0,0,43.95,2023.0,False,True
Chaetomium murorum,Chaetomium,2,"['LDPE', 'PE']",9.09,96.84,85.0,0,43.94,2022.0,False,False
Citrobacter freundii,Citrobacter,1,['LDPE'],4.55,98.03,90.0,0,43.87,2023.0,False,False
Coprinellus aureogranulatus,Coprinellus,1,['LDPE'],4.55,98.03,90.0,0,43.87,2023.0,False,True
Proteus mirabilis,Proteus,1,['LDPE'],4.55,98.03,90.0,0,43.87,2023.0,False,False
Curvularia lunata,Curvularia,1,['LDPE'],4.55,98.03,90.0,0,43.87,2023.0,False,True
Trametes polyzona,Trametes,1,['LDPE'],4.55,98.03,90.0,0,43.87,2023.0,False,False
Coprinellus bipellis,Coprinellus,1,['LDPE'],4.55,98.03,90.0,0,43.87,2023.0,False,True
VIbrio sp.,VIbrio,1,['PCL'],4.55,98.03,90.0,0,43.87,2023.0,False,False
Micrococcus luteus,Micrococcus,2,"['HDPE', 'LDPE']",9.09,96.45,85.0,0,43.84,2022.0,False,True
Neopestalotiopsis phangngaensis,Neopestalotiopsis,1,['LDPE'],4.55,97.63,90.0,0,43.77,2023.0,False,True
Schizophyllum commune,Schizophyllum,1,['LDPE'],4.55,97.63,90.0,0,43.77,2023.0,False,True
Pleurotus pulmonarius,Pleurotus,1,['PET'],4.55,97.63,90.0,0,43.77,2023.0,False,False
Terribacillus saccharophilus,Terribacillus,1,['PCL'],4.55,97.63,90.0,0,43.77,2023.0,False,True
Rhodotorula sp.,Rhodotorula,1,['PU'],4.55,97.63,90.0,0,43.77,2023.0,False,False
Meyerozyma caribbica,Meyerozyma,1,['LDPE'],4.55,97.63,90.0,0,43.77,2023.0,False,True
Delftia sp.,Delftia,2,"['PE', 'PET']",9.09,96.06,85.0,0,43.74,2022.0,False,True
Purpureocillium sp.,Purpureocillium,1,['PU'],4.55,97.24,90.0,0,43.67,2023.0,False,False
Penicillium chrysogenum,Penicillium,6,"['HDPE', 'LDPE', 'PCL', 'PE', 'PLA', 'PU']",27.27,73.96,85.0,0,43.67,2022.0,False,True
Paracoccus aminophilus,Paracoccus,1,['LDPE'],4.55,97.24,90.0,0,43.67,2023.0,False,False
Verticillium sp.,Verticillium,1,['PU'],4.55,97.24,90.0,0,43.67,2023.0,False,True
Rhizopus nigricans,Rhizopus,2,"['LDPE', 'PE']",9.09,95.66,85.0,0,43.64,2022.0,False,False
Clonostachys sp.,Clonostachys,1,['PU'],4.55,96.84,90.0,0,43.57,2023.0,False,False
Phoma sp.,Phoma,2,"['PE', 'PU']",9.09,95.27,85.0,0,43.54,2022.0,False,True
Cladosporium halotolerans,Cladosporium,3,"['HDPE', 'PCL', 'PU']",13.64,85.8,90.0,0,43.54,2023.0,False,True
